,CPC014_HCC515_6H:BRD-K50168500-001-01-2:10,CPC009_MCF7_6H:BRD-K49094915-019-01-5:10,CPC006_NCIH1694_6H:BRD-K17349619-003-01-4:10,CPC015_NPC_24H:BRD-A72596465-001-01-3:10,CPC011_HA1E_6H:BRD-A19037878:10,CPC014_HEPG2_6H:BRD-A26002865-001-01-5:10,LJP001_MCF10A_24H:BRD-K51313569-001-03-7:2,CPC006_HCC515_24H:BRD-K89687904-001-01-8:10,CPC009_HEPG2_6H:BRD-K24705176-001-01-7:10,CPC014_HA1E_6H:BRD-K81528515-001-03-9:10,HOG002_MCF7_24H:BRD-K68202742-001-10-8:10,CPC006_A375_6H:BRD-A84481105-003-17-2:10,CPC004_HT29_6H:BRD-K52075715-001-03-4:10,CPD002_MCF7_6H:BRD-A19037878:10,CPC019_PC3_6H:BRD-K47802551-001-01-0:10,CPC009_VCAP_6H:BRD-A45206415-001-05-5:10,CPC014_A375_6H:BRD-U86922168-000-01-3:10,CPC005_A375_6H:BRD-K39520573-001-01-2:10,CPC003_PC3_6H:BRD-A50737080-001-01-4:10,CPC008_A375_24H:BRD-K01896723-001-01-9:10,ERG004_VCAP_6H:BRD-K78716413:30,LJP002_MDAMB231_6H:BRD-K81528515-001-05-4:2,ASG001_PC3_24H:BRD-A61304759-001-01-0:2,CPC014_HCC515_6H:BRD-K05396879-001-05-9:10,CPC016_A375_6H:BRD-K63792901-075-01-3:10
CPC014_HCC515_6H:BRD-K50168500-001-01-2:10,1.0,0.8880257033616619,0.9151377314569942,0.8990880201887345,0.9128164079079586,0.9246160709108688,0.9039818232532126,0.899740120792281,0.9045892865354412,0.9169848774517995,0.9068161432660276,0.8841442919471787,0.8965830275030411,0.9056819872519207,0.9083793026279681,0.9102344491497729,0.8930489243942444,0.8908270441144841,0.8739893296178609,0.9184934032241852,0.8998198535773132,0.8897548900546846,0.9032502103724338,0.9049700843177164,0.9002309368519392
CPC009_MCF7_6H:BRD-K49094915-019-01-5:10,1.0,1.0,0.8999051423979794,0.8821672829396736,0.896654128744693,0.9070043211915843,0.8869588057053874,0.8794391212650305,0.8885399971819805,0.8924866770828033,0.8844133726577814,0.8641035683872343,0.8783922703534415,0.8883752964769234,0.8956012887351014,0.8943298833952061,0.8772346300048425,0.8746573374287785,0.8553699735617717,0.9018762379530336,0.8833978690479674,0.8721510378283658,0.8854210822490787,0.89364165629157,0.8792179450733077
CPC006_NCIH1694_6H:BRD-K17349619-003-01-4:10,1.0,1.0,1.0,0.9079065325082537,0.9228159225774759,0.9323259386779317,0.9115418856480613,0.9063016754628137,0.9168277992929856,0.9268091846523391,0.9138146100983552,0.8905061324738621,0.9032515982427207,0.9179409187844585,0.9196025615143413,0.9211985532652793,0.9028122784008938,0.8962378788674958,0.877404760321997,0.9301112377969716,0.9079543460127752,0.8954328164397236,0.9162460672427046,0.91366309763058,0.9105460280399827
CPC015_NPC_24H:BRD-A72596465-001-01-3:10,1.0,1.0,1.0,1.0,0.9085338387323323,0.9163006191835608,0.896593798466159,0.8892262414241627,0.8973316465662895,0.9041304837110573,0.8968467862082677,0.8711261950070394,0.8866861065029981,0.900042902237984,0.9074742435065543,0.9031408903114344,0.8896650301020929,0.8816748024098997,0.8641946389893023,0.9139793899185605,0.8929574942161455,0.881121681188693,0.8960159921502724,0.9009959910350183,0.8957270872381888
CPC011_HA1E_6H:BRD-A19037878:10,1.0,1.0,1.0,1.0,1.0,0.9303753518114126,0.9140296027092011,0.9094542165233981,0.9150072509341356,0.9253025677096391,0.9110827624190505,0.8877792417856396,0.903103828226816,0.9136292072509682,0.9182067140593748,0.9240414731293853,0.9074092022175603,0.8977191868128668,0.8803292608208466,0.9325997530914953,0.9101697808546165,0.8963628084976547,0.9160372970243977,0.9168308768620361,0.9133908807345029
CPC014_HEPG2_6H:BRD-A26002865-001-01-5:10,1.0,1.0,1.0,1.0,1.0,1.0,0.9183355607930206,0.9158146721506562,0.921033898562295,0.9277080885993141,0.9182969837876384,0.9022927038944318,0.9096044777783395,0.9182981846444045,0.9260298118951398,0.9231974011102209,0.9091557781485162,0.9015739711027506,0.8881042254416267,0.9380957855794858,0.9127746067139821,0.9027279125126624,0.9223559346990835,0.928432907792343,0.9161401292038107
LJP001_MCF10A_24H:BRD-K51313569-001-03-7:2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8949273819973478,0.9035308481236449,0.9073144262777456,0.9039675279023283,0.8780994472591246,0.8881196423573265,0.9043487040447812,0.9057436538102305,0.9073433308849553,0.8933898753349724,0.8891601002773517,0.8679417283173758,0.9186013328534954,0.8968282216609595,0.8855855854200123,0.900295349246885,0.9039935480742366,0.9013110792465284
CPC006_HCC515_24H:BRD-K89687904-001-01-8:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8978492720260733,0.902388638235694,0.9000297593960964,0.8712387267207795,0.8841680145506021,0.8978729266182306,0.9005597979350567,0.903166772965603,0.8896012393656856,0.88295622419236,0.8637889359975182,0.9141731422369986,0.8919465292506539,0.8770121523210743,0.8975708547493287,0.8995183299478664,0.8958908398116341
CPC009_HEPG2_6H:BRD-K24705176-001-01-7:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9137587521136064,0.9010061218954895,0.8806011501036026,0.8951493708114466,0.9068228760013837,0.9090257864236904,0.9093359277939035,0.8958263556398187,0.8903882893802663,0.871817191439876,0.9197005760147332,0.8977987471739027,0.8883646442506152,0.9037286213709401,0.9075408651915685,0.9041007955824677
CPC014_HA1E_6H:BRD-K81528515-001-03-9:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9116796341191498,0.8851268402714665,0.8990131030561324,0.9106996031624763,0.9177955876009227,0.9150662339599221,0.8980520252770996,0.8929335978880442,0.8743813564352385,0.9294303135253692,0.9062217426345658,0.8898153917774061,0.9099979898658834,0.9182258109457109,0.9083103660769178
HOG002_MCF7_24H:BRD-K68202742-001-10-8:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8780260287446797,0.8915706111918044,0.9024659909378607,0.9082499962171655,0.9107264517341596,0.8992284628459426,0.8837775511235653,0.8700727014429641,0.920259096102066,0.8985833310824007,0.8865260913918989,0.9075049377094451,0.9050606227430591,0.8994689940981287
CPC006_A375_6H:BRD-A84481105-003-17-2:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.869900149433529,0.8798615134648367,0.8860206240170587,0.8843740018095619,0.870531332396912,0.8607193832280668,0.8465972182058008,0.8940029767869553,0.8754432193860207,0.8614470383133475,0.880288801255708,0.8876000865814666,0.8769858236643704
CPC004_HT29_6H:BRD-K52075715-001-03-4:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8917235406438533,0.8978639777471977,0.8934016117064069,0.8799018402093619,0.8753655599829534,0.8606994570242775,0.907738418530865,0.8897548559927755,0.872974869885428,0.8959574955355865,0.9012526793716292,0.8889294357851644
CPD002_MCF7_6H:BRD-A19037878:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9064624269829993,0.9126290901480995,0.8928094768433412,0.888966703750669,0.8729548349862466,0.9248091859553489,0.9017574493551636,0.8874033766674347,0.9056581555065626,0.9091642181997273,0.8995921943155175
