"logFC"	"logCPM"	"PValue"
"A1BG"	-0.0908279278116712	4.12893809641959	0.116152823030097
"A1CF"	0.488678452295644	-0.382418820586906	2.05335096381501e-05
"A2M"	0.456934374079063	5.97514762351071	6.97963414032167e-17
"A2ML1"	0.240885374695789	0.894951382336792	0.00124743085126376
"A2MP1"	3.53713875149383	0.0140219546523843	0
"A3GALT2"	1.17018058142515	-1.96500378084351	6.13596744457111e-27
"A4GALT"	-3.77716111749624	3.18020550068923	0
"A4GNT"	-1.24487083769132	-1.66946050196116	1.03647164887544e-70
"AAAS"	-0.189506927785742	5.24738800367716	0.000553608130939245
"AACS"	-0.367987286162428	5.36741231747739	2.14658344995803e-11
"AACSP1"	1.21018057019419	0.248970965988398	3.05326631530687e-68
"AADAC"	-10.0000700003603	4.14641314673211	0
"AADACL2"	-0.223564395108538	-2.13441447331479	4.85580274887411e-10
"AADACL3"	0.177145777184161	-1.37193070906429	0.523049692507552
"AADACL4"	-1.9273541663826	-1.94100985071544	5.44503134880815e-107
"AADACP1"	-4.09127425895732	-0.835905219102082	0
"AADAT"	1.04301673535935	3.93275943175313	4.14566788772081e-78
"AAED1"	-2.51181868112075	5.55550553378038	0
"AAGAB"	-0.46553519732037	5.41009725053577	2.32788572768862e-17
"AAK1"	-0.148454742792436	6.87994860374739	0.00735963412645321
"AAMDC"	-1.05922556537776	4.80362208619372	4.25366598866904e-80
"AAMP"	-0.909255064388929	5.73632261001143	2.31694130282897e-60
"AANAT"	1.00306521689706	-1.08123083955036	1.19183055925613e-29
"AAR2"	-0.657584112571175	5.09308678197776	3.51473063634822e-33
"AARD"	0.0497688557942261	1.49330676479746	0.346455189896017
"AARS"	-1.21313827531267	6.79263909768521	2.74025916822209e-105
"AARS2"	-0.77523105320538	3.80699720236364	1.40393130704724e-45
"AARSD1"	-0.392349071622059	5.06907289353002	3.83548361697888e-13
"AARSP1"	0.0476556848895022	-2.29519467486729	0.288209560015088
"AASDH"	0.112975695120941	4.19203356822712	0.0852376868505563
"AASDHPPT"	0.744171659668335	6.66829849567912	6.12577343242839e-41
"AASS"	1.18787951195501	6.52682721869647	3.24014046660911e-101
"AATF"	-1.26764699397754	5.25181499260134	5.70479965924097e-115
"AATK"	3.15733272102274	1.80026976206449	0
"AATK-AS1"	2.10772975537308	-1.87948564756251	3.13944839327725e-105
"AB019438.66"	-0.0024041082725231	-2.30127049580821	1
"AB019441.29"	-0.434328497186881	-0.296684180692116	1.59239552224089e-06
"ABAT"	3.01969423781779	5.90879233486774	0
"ABBA01000934.1"	-0.417889391949853	-2.02889301424029	1.1859933754334e-19
"ABC12-47043100G14.2"	0.0280615803276789	-2.30059886064977	0.999999999999996
"ABC12-47964100C23.1"	0.355351574932344	-2.19015962054402	0.176168974422684
"ABC13-47488600E17.1"	-0.313447522628987	0.47565444269767	3.78434193021204e-13
"ABC13-47656900H15.1"	0.123888172746583	-1.34511013311332	3.4101570728704e-08
"ABC13-48559800H2.1"	-2.23016411122259	-0.192998955254001	6.2381246446054e-313
"ABC13-48559800H2.2"	-0.352965963218816	-2.26760756291425	2.03260723929762e-16
"ABC14-864958H18.2"	-0.510183445650353	1.15813620474884	2.6414554563673e-25
"ABC7-42391500H16.4"	-0.166828635498128	-2.15824021689365	1.11189837636591e-07
"ABC7-42404400C24.1"	0.404779189892246	2.72796748739798	2.82663290035993e-13
"ABC7-42418200C9.1"	-1.10132119484661	-0.211548599616819	7.0766296996618e-106
"ABC7-481722F1.1"	0.717025997796933	-2.26203654442949	4.96067792820136e-14
"ABC8-43014700C16.1"	-0.0601431442528567	-2.29846004201732	0.0314203333229118
"ABC9-43961700F1.1"	-0.060669088390005	-2.29576473927953	0.0579946710370734
"ABCA1"	-0.280571257549546	7.17787840853833	3.11455281428537e-07
"ABCA10"	-0.206252154117583	1.42188455989922	2.37985722525953e-05
"ABCA11P"	1.08957181936015	2.59443817739098	3.9878485346553e-85
"ABCA12"	0.411150338473085	-0.237149947838737	3.18128531201055e-06
"ABCA13"	0.556352936876676	1.88333825340576	3.16524206997846e-21
"ABCA17P"	1.05816691000896	0.5185959992189	4.15857555935343e-60
"ABCA2"	-0.876736794352317	4.87837838434572	2.99039076231774e-58
"ABCA3"	2.05178785298795	4.42269013021216	5.07792650988188e-287
"ABCA4"	-0.509963772219424	0.17448707163175	3.87583093590284e-30
"ABCA5"	0.148485405023799	4.8329048028277	0.00880885969009869
"ABCA6"	-1.84370034687598	3.58219190439175	5.58090727582672e-234
"ABCA7"	0.446845013453817	2.9746766391174	9.67831850637492e-16
"ABCA8"	-0.759216799874582	3.35938300650864	5.63095987934831e-44
"ABCA9"	-0.875037288659544	3.78889419173377	6.07296811091115e-57
"ABCB1"	-0.443519883050482	1.24567604776037	4.39699199151012e-23
"ABCB10"	-0.934291211280829	4.1954947517637	4.57416549708263e-65
"ABCB10P1"	-0.409077107932617	-2.16020626080919	6.60702620238874e-18
"ABCB10P3"	0.400005465443127	-2.08307884732107	0.00652411364988139
"ABCB10P4"	1.71989575743707	-1.62144694215678	5.72210596847696e-106
"ABCB11"	0.651319814409195	-1.55680284063472	0.00581486048505858
"ABCB4"	-0.400745439318288	1.29773288187191	3.95236572191943e-13
"ABCB5"	-0.0345657753631243	1.37659055036598	2.40913308207615e-05
"ABCB6"	-0.725002360745568	4.01164275111171	7.25460177869568e-41
"ABCB7"	0.230750971848071	4.65554220331154	4.05837313140232e-05
"ABCB8"	-1.1783992958085	4.12655907765716	2.68673964557614e-102
"ABCB9"	0.029635790485063	3.26453287588922	0.768208679072111
"ABCC1"	-2.67969790134289	5.99010229307397	0
"ABCC10"	-0.977968445375159	4.27091832822815	9.63722135091899e-71
"ABCC11"	-0.0234165795023635	-0.123715676704378	0.0720703956340127
"ABCC12"	2.14020196748728	-1.55519991694752	7.8241476380573e-138
"ABCC13"	0.809402821053515	-0.227093672879919	1.76072672447698e-22
"ABCC2"	-0.613214727873166	1.16512443389146	3.20479264780177e-26
"ABCC3"	-3.99817179187123	4.40883877452949	0
"ABCC4"	-1.72460708532414	5.69016677386228	1.95639776408854e-204
"ABCC5"	0.388081746712399	5.52377252262509	2.2779835544243e-12
"ABCC6"	-0.710478905655361	2.14272590032488	9.729176964064e-40
"ABCC6P1"	0.695832612835438	-0.483258456701444	6.8406061824266e-21
"ABCC6P2"	0.588113249503998	-0.681999661577491	1.50651610463071e-10
"ABCC8"	4.09960700723807	1.31940598512666	0
"ABCC9"	0.2157679713279	5.27218945700331	8.51509678187937e-05
"ABCD1"	-2.42166143401958	3.058760588582	0
"ABCD1P2"	0.227282872290221	-2.25694075597772	0.20872997889335
"ABCD1P3"	-0.0191321578094062	-2.29345174287376	0.425144711789853
"ABCD1P4"	0.00364886292265132	-2.29092044407526	0.153368884780172
"ABCD1P5"	0.466973570096139	-2.25259833968209	1.0048767927518e-06
"ABCD2"	3.30712523172086	1.66651839736918	0
"ABCD3"	-0.130016305097006	5.93159253009635	0.0164937028801377
"ABCD4"	0.630682853178391	5.42791480049336	1.36228214923728e-29
"ABCE1"	-0.796065138834682	7.08682608284947	4.58089828254635e-47
"ABCF1"	-0.376720733284287	7.06970469603733	7.4731707617349e-12
"ABCF2"	-1.11870699509926	6.24270985385819	6.19579357720427e-90
"ABCF2P1"	1.68006027974969	-1.93687869191978	3.34765310204999e-61
"ABCF2P2"	0.35060318973237	-2.22105690467613	0.0765360853069125
"ABCF3"	-1.12855938183964	4.91519730642671	6.7788131791794e-93
"ABCG1"	1.03137807067493	2.36361788379198	1.63875862653321e-68
"ABCG2"	-2.16143706224477	1.72951167819395	1.93336763601073e-315
"ABCG4"	2.04764725563042	1.02693059305226	5.98853777617672e-273
"ABCG5"	1.07539189637981	-0.492787312576404	1.54997216304516e-40
"ABCG8"	2.23175910542027	-1.8532619666612	3.47578409350239e-124
"ABHD1"	0.118748968666193	1.6845316466434	0.0316308991919131
"ABHD10"	0.0804020127069885	5.16307195618031	0.167293395687723
"ABHD11"	-0.746019281726389	3.48993952491519	1.53728204059964e-41
"ABHD12"	-1.46442738436787	5.13748658045605	2.05214585963522e-151
"ABHD12B"	-1.08353690212186	2.66336142808347	2.54327676644572e-88
"ABHD13"	-0.625502459893328	4.39649468594529	6.78329519004717e-31
"ABHD14A"	0.09895666704157	3.63381696897721	0.107597310303875
"ABHD14A-ACY1"	-0.752369468029665	0.836915940928417	5.14640445668369e-50
"ABHD14B"	-3.52843961316859	4.17701103035683	0
"ABHD15"	-2.13372523200069	3.14209087454724	7.47209931642315e-308
"ABHD16A"	0.210784718290803	5.05621430302814	0.000118707436489362
"ABHD16B"	-1.72712847601723	0.813878195407924	4.44018109599897e-250
"ABHD17A"	-0.698916227071945	5.18170760466791	1.13651851939287e-35
"ABHD17AP1"	0.0306127195435478	-1.64083198569458	0.00507812837268306
"ABHD17AP3"	-1.13430109897801	-1.79215207792576	4.92591614235264e-62
"ABHD17AP4"	-0.740174978061129	-2.12235258902162	4.46956983741018e-22
"ABHD17AP5"	-1.27518181638945	-2.14890272431767	6.82723986116327e-47
"ABHD17AP6"	0.760869800279208	-2.11517087698419	1.16416680492934e-08
"ABHD17AP7"	0.0473166467827361	-2.29857542925129	1
"ABHD17AP8"	0.0283901365992587	-2.29983160980579	0.50018149136261
"ABHD17AP9"	0.0828224417267184	-2.28369997425679	0.423365746257168
"ABHD17B"	0.780149428268945	4.39601768476219	1.97762315901912e-45
"ABHD17C"	-0.298759641060866	4.22149249589546	5.94459470652637e-08
"ABHD18"	0.0453032908428205	4.01373267982128	0.485017950999342
"ABHD2"	-1.11351522834731	6.18056782940574	8.86441053604844e-90
"ABHD3"	0.18128233629539	3.05425053422733	0.00193204137804514
"ABHD4"	-1.25124650017583	5.36992319809402	5.75813612948726e-112
"ABHD5"	-1.82466266202633	4.48268617880904	9.50247239887149e-229
"ABHD6"	0.254596897173112	3.37713120964918	1.16063085803485e-05
"ABHD8"	-0.989310426455652	2.74823435299988	2.0148828805366e-79
"ABI1"	-0.997391936281948	6.25226929244479	2.0304388754366e-72
"ABI2"	1.07207291301559	7.15864496160851	8.74746492431781e-83
"ABI3"	-5.17010014724833	1.03063324193961	0
"ABI3BP"	-4.70085346908136	5.57671093494383	0
"ABL1"	-1.33748106268002	6.45218385743175	1.73750075729108e-126
"ABL2"	-1.50236139460804	6.58071189244662	1.22346202931438e-157
"ABLIM1"	1.15774254492667	6.0729695083013	6.03392469280854e-96
"ABLIM2"	3.72268889061163	2.05136343629555	0
"ABLIM3"	-3.18620311485595	5.3447429554852	0
"ABO"	0.79434923507445	1.72284417779321	1.65684524929584e-31
"ABR"	-0.330955693095715	6.22013026605904	1.87973180835057e-09
"ABRA"	0.0386866387677455	0.136404036001666	0.0952157567858903
"ABRACL"	0.214746716058812	5.32858423548995	0.000118770832169851
"ABT1"	-0.140666508069346	5.03653494152602	0.00936310340776763
"ABT1P1"	-0.690804602781714	-1.94941296344048	2.25107632329132e-33
"ABTB1"	-2.49341884472271	3.14549019296132	0
"ABTB2"	-0.748475387460506	3.15463804104482	3.59247061270938e-44
"AC000041.10"	4.24037914319578	-1.34905686698773	0
"AC000041.8"	1.22444312375683	-1.35268916791609	4.32917117221184e-38
"AC000077.2"	1.47910708716046	-2.20270996749278	1.47955583034547e-53
"AC000078.5"	-2.33499060232654	-1.23431670079067	3.67349270090604e-202
"AC000081.2"	-0.0410723792606435	-2.14456332731054	5.69862892375561e-05
"AC000089.3"	1.79827272931549	0.299216608959315	1.26013006108383e-202
"AC000095.12"	3.48343413356143	0.266092594710456	0
"AC000095.9"	3.78693328385652	-0.832043201433104	0
"AC000111.4"	0.0453683314848985	-2.29249841594787	0.999999999999999
"AC000111.5"	0.0514201173389618	-2.29623339941821	0.999999999999995
