,sign_id,pert_id,pert_desc,score
0,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;NMH002_NEU_24H:BRD-K08252256-236-26-2:10,BRD-K08252256;BRD-K08252256,Diclofenac.Na;Diclofenac.Na,0.0
1,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC004_PC3_24H:BRD-K08252256-236-17-1:10,BRD-K08252256;BRD-K08252256,Diclofenac.Na;DICLOFENAC SODIUM,0.0
2,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC011_PC3_6H:BRD-K08252256-236-25-4:10,BRD-K08252256;BRD-K08252256,"Diclofenac.Na;benzeneacetic acid, 2-[(2,6-dichlorophenyl)amino]-, monosodium salt [cas]",0.0
3,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC011_A375_6H:BRD-K08252256-236-25-4:10,BRD-K08252256;BRD-K08252256,"Diclofenac.Na;benzeneacetic acid, 2-[(2,6-dichlorophenyl)amino]-, monosodium salt [cas]",0.0
4,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC016_HT29_6H:BRD-A68929948-001-01-9:10,BRD-K08252256;BRD-A68929948,Diclofenac.Na;-666,0.0
5,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC016_A375_6H:BRD-A68929948-001-01-9:10,BRD-K08252256;BRD-A68929948,Diclofenac.Na;-666,0.0
6,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC001_PC3_24H:BRD-A68929948-001-01-9:10,BRD-K08252256;BRD-A68929948,Diclofenac.Na;DAPT,0.0
7,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC004_VCAP_6H:BRD-K08252256-236-17-1:10,BRD-K08252256;BRD-K08252256,Diclofenac.Na;DICLOFENAC SODIUM,0.0
8,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC001_HCC515_24H:BRD-A68929948-001-01-9:10,BRD-K08252256;BRD-A68929948,Diclofenac.Na;DAPT,0.0
9,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC004_MCF7_6H:BRD-K08252256-236-17-1:10,BRD-K08252256;BRD-K08252256,Diclofenac.Na;DICLOFENAC SODIUM,0.0
10,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC001_VCAP_24H:BRD-A68929948-001-01-9:10,BRD-K08252256;BRD-A68929948,Diclofenac.Na;DAPT,0.0
11,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC017_MCF7_24H:BRD-K08252256-236-17-1:10,BRD-K08252256;BRD-K08252256,Diclofenac.Na;-666,0.0
12,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC016_NPC_24H:BRD-A68929948-001-01-9:10,BRD-K08252256;BRD-A68929948,Diclofenac.Na;-666,0.0
13,NMH002_NEU_24H:BRD-K08252256-236-26-2:10;CPC004_VCAP_24H:BRD-K08252256-236-17-1:10,BRD-K08252256;BRD-K08252256,Diclofenac.Na;DICLOFENAC SODIUM,0.0
