,NMH002_NEU_24H:BRD-K08252256-236-26-2:10,CPC004_PC3_24H:BRD-K08252256-236-17-1:10,CPC011_PC3_6H:BRD-K08252256-236-25-4:10,CPC011_A375_6H:BRD-K08252256-236-25-4:10,CPC016_HT29_6H:BRD-A68929948-001-01-9:10,CPC016_A375_6H:BRD-A68929948-001-01-9:10,CPC001_PC3_24H:BRD-A68929948-001-01-9:10,CPC004_VCAP_6H:BRD-K08252256-236-17-1:10,CPC001_HCC515_24H:BRD-A68929948-001-01-9:10,CPC004_MCF7_6H:BRD-K08252256-236-17-1:10,CPC001_VCAP_24H:BRD-A68929948-001-01-9:10,CPC017_MCF7_24H:BRD-K08252256-236-17-1:10,CPC016_NPC_24H:BRD-A68929948-001-01-9:10,CPC004_VCAP_24H:BRD-K08252256-236-17-1:10
NMH002_NEU_24H:BRD-K08252256-236-26-2:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC004_PC3_24H:BRD-K08252256-236-17-1:10,0.9210139399638597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC011_PC3_6H:BRD-K08252256-236-25-4:10,0.903464155760889,0.9003520698973461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC011_A375_6H:BRD-K08252256-236-25-4:10,0.9231210227670795,0.9208256918297646,0.9030076513503821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC016_HT29_6H:BRD-A68929948-001-01-9:10,0.9156199351399386,0.9116980854744171,0.890306876875604,0.9221165071804402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC016_A375_6H:BRD-A68929948-001-01-9:10,0.9055994117437597,0.8981427927949533,0.8781975847160126,0.8979615974503472,0.8910135962303358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC001_PC3_24H:BRD-A68929948-001-01-9:10,0.935915029829452,0.9291542160446689,0.9093006695221809,0.9331979772539459,0.9220009236007278,0.9148366115064173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC004_VCAP_6H:BRD-K08252256-236-17-1:10,0.9141872043623356,0.910986962960745,0.8888793166520197,0.9103305436003681,0.9018448520687619,0.8879382038890717,0.9238354534841384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPC001_HCC515_24H:BRD-A68929948-001-01-9:10,0.9195120878354658,0.919349397801364,0.8969968119140277,0.9202332067564427,0.9099296735322775,0.8964797834485854,0.9280811333363841,0.9105277717819027,0.0,0.0,0.0,0.0,0.0,0.0
CPC004_MCF7_6H:BRD-K08252256-236-17-1:10,0.9121335521393902,0.9072154368779831,0.8874382596417343,0.9104160737877935,0.8977473441079269,0.8891211618252588,0.9182261410298175,0.8975689951944137,0.9058836596682671,0.0,0.0,0.0,0.0,0.0
CPC001_VCAP_24H:BRD-A68929948-001-01-9:10,0.9174610009991997,0.9074703619398197,0.8884359995678068,0.9151034880994235,0.9046148078462224,0.8941510414029419,0.920731794081217,0.9027188768649954,0.9097868484054893,0.8971960535475139,0.0,0.0,0.0,0.0
CPC017_MCF7_24H:BRD-K08252256-236-17-1:10,0.8980222537807098,0.8910624663666196,0.8756227202324558,0.8955078343405313,0.884932990448708,0.8765552426127532,0.9053617902782296,0.8832206821948227,0.8916030042098841,0.882657901549874,0.8877419811462942,0.0,0.0,0.0
CPC016_NPC_24H:BRD-A68929948-001-01-9:10,0.9111039758328333,0.902758149554469,0.8826756498702499,0.9118165144286153,0.8993922790688302,0.8869711863427525,0.9184653356829159,0.8973504810688666,0.9008315898883136,0.8969078372645942,0.9019493715422522,0.8812962377211667,0.0,0.0
CPC004_VCAP_24H:BRD-K08252256-236-17-1:10,0.9190983732664622,0.9152610355866596,0.8947617627629818,0.9148884837540252,0.910871632568926,0.8950628765748413,0.9251089604528471,0.9069734493563186,0.9148177903833243,0.900345698047687,0.9070366010932231,0.886439084656214,0.8973281092362244,0.0
