,id_folder,dict_additive_factor,dict_multiplication_factor,average_statistic,average_p_value,mean_synergy,mean_not_synergy,dif_mean
0,0,0,0,0.0,0.0,0.0,0.0,0.0
4,4,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.34556072704304774, 'betweenness': 0.417022004702574, 'pagerank': 0.39676747423066994, 'closeness': 0.7203244934421581, 'katz': 0.1862602113776709, 'hits_authority': 0.14675589081711304, 'hits_hub': 0.0923385947687978, 'eigenvector': 0.30233257263183977, 'eigentrust': 0.00011437481734488664}",0.08437772735206843,0.00037106950436442335,0.9014963596649924,0.903264356252157,0.0017679965871644219
5,5,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.41730480236712697, 'betweenness': 0.538816734003357, 'pagerank': 0.5586898284457517, 'closeness': 0.4191945144032948, 'katz': 0.6704675101784022, 'hits_authority': 0.8781174363909454, 'hits_hub': 0.027387593197926163, 'eigenvector': 0.20445224973151743, 'eigentrust': 0.6852195003967595}",0.05494850759294816,0.004106065334083271,0.9199349674102156,0.9202027967924928,0.0002678293822770961
6,6,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.6289979671721327, 'betweenness': 0.8065565459156647, 'pagerank': 0.6740140565422112, 'closeness': 0.3007216185680257, 'katz': 0.11285195732645614, 'hits_authority': 0.39766269544011024, 'hits_hub': 0.9797855836449405, 'eigenvector': 0.7548828346882218, 'eigentrust': 0.3878167424595005}",0.04953744108919532,0.02851296342002631,0.9492772648271652,0.9512054132756914,0.0019281484485261788
7,7,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.6614729131819058, 'betweenness': 0.7355109713380806, 'pagerank': 0.8971814206880498, 'closeness': 0.23797433114100153, 'katz': 0.3381031070839853, 'hits_authority': 0.17734379683187929, 'hits_hub': 0.00044749719276648836, 'eigenvector': 0.0989466502950116, 'eigentrust': 0.1921145490531565}",0.0816547390469541,4.324740788630111e-05,0.8706417199260269,0.8711651256398132,0.0005234057137862846
8,8,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.624202527768043, 'betweenness': 0.8252042496389895, 'pagerank': 0.6841567023284744, 'closeness': 0.7988925187718711, 'katz': 0.08239892524325332, 'hits_authority': 0.06396162694513607, 'hits_hub': 0.48349486031389277, 'eigenvector': 0.7463196466864325, 'eigentrust': 0.24101151517689945}",0.05976610228661197,0.005717008936844687,0.918765115060021,0.9204495209275194,0.0016844058674984064
9,9,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.34556072704304774, 'betweenness': 0.417022004702574, 'pagerank': 0.39676747423066994, 'closeness': 0.7203244934421581, 'katz': 0.1862602113776709, 'hits_authority': 0.14675589081711304, 'hits_hub': 0.0923385947687978, 'eigenvector': 0.30233257263183977, 'eigentrust': 0.00011437481734488664}",0.08437772735206843,0.00037106950436442335,0.9014963596649924,0.903264356252157,0.0017679965871644219
10,10,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.41730480236712697, 'betweenness': 0.538816734003357, 'pagerank': 0.5586898284457517, 'closeness': 0.4191945144032948, 'katz': 0.6704675101784022, 'hits_authority': 0.8781174363909454, 'hits_hub': 0.027387593197926163, 'eigenvector': 0.20445224973151743, 'eigentrust': 0.6852195003967595}",0.05494850759294816,0.0041060653340832705,0.9199349674102156,0.9202027967924928,0.0002678293822770961
11,11,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.6289979671721327, 'betweenness': 0.8065565459156647, 'pagerank': 0.6740140565422112, 'closeness': 0.3007216185680257, 'katz': 0.11285195732645614, 'hits_authority': 0.39766269544011024, 'hits_hub': 0.9797855836449405, 'eigenvector': 0.7548828346882218, 'eigentrust': 0.3878167424595005}",0.04953744108919532,0.02851296342002631,0.9492772648271652,0.9512054132756914,0.0019281484485261788
12,12,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 0.6614729131819058, 'betweenness': 0.7355109713380806, 'pagerank': 0.8971814206880498, 'closeness': 0.23797433114100153, 'katz': 0.3381031070839853, 'hits_authority': 0.17734379683187929, 'hits_hub': 0.00044749719276648836, 'eigenvector': 0.0989466502950116, 'eigentrust': 0.1921145490531565}",0.0816547390469541,4.324740788630111e-05,0.8706417199260269,0.8711651256398132,0.0005234057137862846
