,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
MYH7,-18.7908977146385,0.0023396308074768355,0.0028738431705629224,0.30673519069515826,0.03539869151206785,0.19236712840812878,0.0033522183016652485
MYL2,-17.0935634769923,0.004411516570700613,0.003396825568342189,0.31179543579873525,0.037132125216495886,0.20115400608794676,0.003525127042282522
MYH6,-16.669100309342998,0.003824080093446575,0.0033667758374498575,0.3086554164398476,0.03707329852540732,0.19909629151591038,0.003233669857831736
MB,-15.2546944406466,0.0002106873815568597,0.0003375220068363706,0.2530685114929703,0.02194893013979837,0.0029564716261778236,7.67800802030519e-05
MYBPC3,-15.2283217012067,0.0006854150006682991,0.0012793020906986525,0.2871613066599139,0.027541733884376328,0.09437969256875405,0.0009576011602924639
IGKC,-14.8290787578387,,,,,,
NRAP,-14.671002102539699,8.612218643597764e-05,0.0008239283229217391,0.27292418772563176,0.02497626355714926,0.056579592570662626,0.0009078476683208863
C14ORF180,-14.2687425518239,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
CCNL1,-13.819254491963198,0.0,0.00026469892191989866,0.1924643584521385,0.021364085123991926,1.213672736178757e-05,1.934858021116908e-05
IGLC1,-13.623389651900402,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
IGLC3,-13.415439680404901,,,,,,
NPPA,-13.2336837022165,0.0001376813107647184,0.0005757194561212812,0.17315620705451212,0.021811016117785065,2.283842281690812e-06,0.00046528728603049485
CSRP3,-13.218336286968698,0.010068331762428816,0.003417580789786,0.2970919570343202,0.03515932230886345,0.1598961517939027,0.0021578273740265716
HHATL,-13.0879693097213,0.000291993946988151,0.0006489577434346589,0.25511811023622044,0.022931186082211508,0.011548082719888287,0.00021529134488935763
C1QB,-12.909741133517802,0.0,0.0004001756175800273,0.18123701454371105,0.0215865790296458,5.374772617669293e-06,0.00041123410956754635
IGLC2,-12.876801784105801,,,,,,
MYL3,-12.6855371525352,0.0037008855343778173,0.0029823970901901435,0.31017505470459517,0.035537977534027945,0.1878254139572007,0.003296015282956614
IGHA2,-12.627138994653802,,,,,,
C1QC,-12.481415106665402,0.0,0.0004001756175800273,0.18123701454371105,0.0215865790296458,5.374772617669293e-06,0.00025583122723656917
ITLN1,-12.392403802581,0.0,0.00023060602765042788,0.1870361207323107,0.021367024545454538,5.960958704757364e-06,0.00011639860158782673
VSIG4,-12.21846158294,0.0,0.00020079242408719877,0.21050677557081865,0.021384764979052773,4.008676118087127e-05,0.0002671946791066207
C1QA,-12.1924649252266,0.0014344977100191943,0.0010878086747942073,0.22126829268292683,0.022944450650904065,0.00014516527918652651,0.001068471596105671
IGHG2,-12.031388595374501,,,,,,
CCL14,-11.978068421028901,1.6960559049157462e-06,0.0003869608588328782,0.2381352372952541,0.022252221554000508,0.00028316821003771875,0.00039495673256449904
LMOD2,-11.968942010010199,0.0006246731591725831,0.0006580011290128411,0.2516086088307078,0.022674926045691338,0.010723646360603065,0.0001265335721746296
PPP1R3A,-11.957982324458499,0.0006996323592071859,0.0007152165798407252,0.24503025064822817,0.022601568486649196,0.004140118346523808,0.000388814326148255
BMP10,-11.9502791267084,5.3244103222801956e-05,0.00046319297350430177,0.25172031076581575,0.022594715988393643,0.011440517387232447,0.00017045177805077527
COX6A2,-11.8942318195453,0.00042339378570344804,0.000973313412010355,0.1735802847084035,0.022713643380542114,9.847043458227132e-06,0.0012994260773564002
TCAP,-11.8877856278071,8.752855010031215e-05,0.0005811988573728665,0.25172031076581575,0.02317122327462728,0.02241951103708089,0.0008387455961381394
IGHG4,-11.855803084582,,,,,,
IGHG3,-11.745821985029302,,,,,,
CASQ2,-11.698456910409698,0.00026333613107353525,0.0003236921712062174,0.22826086956521738,0.021655927382241254,0.0037012926820490784,0.0002327972031756534
S100A8,-11.618538361777698,1.5022526278154092e-06,0.00146495062216473,1.0,0.021782041407249625,1.1407060370414383e-47,0.0005
IGHG1,-11.5327995614447,,,,,,
GIMAP7,-11.5306605185319,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
PLN,-11.4612919202782,7.137376573586822e-05,0.0005481234797166402,0.24298264409685022,0.022388515556053076,0.006581791286964014,0.0004975349197157766
DHRS7C,-11.3428031718464,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
S100A9,-11.2702510218033,0.0,0.0005296502456071246,0.6000000000000001,0.021359089146914673,1.1407060370414395e-47,0.0009809843400447429
XIRP2,-11.2135562858375,1.5071026028499314e-05,0.00037967298486389644,0.24256684491978608,0.022229064358240687,0.010264969660564144,0.00025951667108631553
CALML3,-11.203614244598802,0.003442280440898401,0.0010955167843902662,0.27712609970674484,0.024664599848661192,0.019705529127892293,0.0010279317137584592
FCGR2A,-11.059225188606,0.0007862196269756956,0.0006031681459273825,0.24689745264532983,0.02240620404703053,0.0003522300863509348,0.0005457528100832931
CLIC5,-11.052891975873498,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
NKX2-5,-11.02093479195,0.004726140190312725,0.002698066740550606,0.29302325581395344,0.030045115114810336,0.049946789904138915,0.001249979705705686
IGHM,-11.0144759084494,,,,,,
SMPX,-10.995682878794,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
GIMAP4,-10.897977722627301,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
GPIHBP1,-10.881247039133502,0.0,0.0003140314223300842,0.16389651683769332,0.021359165810943763,1.236869541603291e-06,0.00011639860158782663
MYL7,-10.8692423220209,0.0020054565397435273,0.0021621021901285418,0.29873551106427815,0.031765621319133484,0.14185205122573744,0.002144928320552459
CKM,-10.8586619943607,0.0004848096711169313,0.0015048791370208619,0.2849246231155779,0.028597788037358372,0.11040554246374354,0.0008884990881097172
TNNI3,-10.8309990420495,0.0005413164308724626,0.0017467479174082582,0.2876712328767123,0.03053239555889032,0.15255185332180807,0.002235835935512873
TYROBP,-10.827641279344098,0.0053771339391466555,0.0032450583648349694,0.24556084885231702,0.027384386294555488,0.0012005455583052437,0.0017911257109767958
CTD-2587H24.4,-10.8272781499152,,,,,,
GIMAP6,-10.8173834832741,0.0,0.00011452130096197889,,0.021141268732842177,0.0,0.0
ASB10,-10.806633674203301,0.0015388152813552314,0.001175003449016183,0.2818091451292246,0.02464449910623021,0.02257054169721652,0.0005242543876264386
SPARCL1,-10.8023544376848,0.0,0.00024222097773233059,0.19732034104750307,0.021360995182007403,0.00028554835797138186,0.00011639860158782676
IGHA1,-10.681181748471,,,,,,
