,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
MMP3,12.660764728112,0.000905672854363611,0.0009209153764787957,0.28696432577967246,0.021179618219706688,0.0004938541807219135,0.0005994892812469042
KRTAP2-3,11.7175978958794,5.007508759384698e-07,0.001029966999671991,1.0,0.018847312817806182,8.317327563404504e-56,0.0005
KRTAP1-5,11.404216368559599,0.0,0.0002147502000284148,0.15415210316982042,0.018680259585936363,2.6941697903667943e-09,3.8594339526428304e-05
KRT34,11.1603299213027,7.82996204678164e-07,0.00037402425435470845,0.23606496862310813,0.01929178099972059,6.183590919779478e-05,0.00011308709045059941
TERT,10.0202054205411,0.0009074793002822881,0.0006731832753331071,0.3367561874670879,0.02333302814388613,0.010041287069227862,0.0004605780371425919
AC004231.7,9.603765033711289,,,,,,
PSG4,9.268585979787801,0.0006399596194493644,0.0006578299333262765,0.2077310378431054,0.019048282338666338,1.6583076846633568e-06,0.00024022138536118558
LCE2A,9.25720125236014,1.2518771898461744e-07,0.000638781778004256,0.15422645604726878,0.01947469093689399,1.0779662504175018e-08,0.00037118673603358984
SERPINB7,9.14435898897635,0.0,0.00015196082461335845,0.2563640008017639,0.018743595267678152,0.0002614439378663433,7.094547707063958e-06
RP11-54D18.4,8.985786557937079,,,,,,
PSG5,8.78612871059571,0.0,0.00010586491636671603,,0.01847406211298296,0.0,0.0
RP11-73B8.2,8.52273541374383,,,,,,
OTX2,8.51028417693517,0.001652091803944678,0.0019191286336912587,0.3088625935764308,0.02783254009754968,0.0025138758271501796,0.0006575226814906872
HOXA13,8.281279150929361,0.00015944515597791928,0.0006479693063943624,0.2767799177667171,0.021267674106297863,0.0009088948740194436,0.00032805188597463734
SLC7A3,8.09339572685369,0.00024116978540734315,0.0005860912760914372,0.24956097560975612,0.01967760362516472,4.746665463441469e-05,5.4628017344392455e-05
NPTX1,8.04221317562328,0.0,0.00015141581520237014,0.2711469154123384,0.018793314560315896,0.00018999534872284453,9.180344732940757e-05
ZIC2,7.877860263514889,0.0006975225126418266,0.0012974381668710336,0.30430644777539856,0.025488957812126848,0.0022371236197479085,0.0004221255885703053
CYP26A1,7.851569508146019,0.0016433365883161263,0.0007909442555933998,0.2584882780921584,0.02010648189904292,0.00011526903835253944,0.00014529633704066992
