,Unnamed: 0.1,id_folder,dict_additive_factor,dict_multiplication_factor,average_statistic,average_p_value,mean_synergy,mean_not_synergy,dif_mean,description
1,1,1,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.8310473529191802, 'betweenness': 4.753198042323167, 'pagerank': 2.676341902399038, 'closeness': 7.482920440979423, 'katz': 2.3208030173540175, 'eigenvector': 3.7209931536865577, 'eigentrust': 1.001029373356104}",0.13557533290191193,0.0,0.8027942247334072,0.8215016045479296,0.018707379814522418,bayes_7_metrics_alpha_00001
2,2,2,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.840070247583657, 'betweenness': 4.11004654338743, 'pagerank': 8.90305692751851, 'closeness': 4.570907268076029, 'katz': 7.166975503570836, 'eigenvector': 4.772750629629654, 'eigentrust': 5.849350606030212}",0.13207293341033974,0.0,0.7331662566092285,0.7683858615661316,0.03521960495690313,bayes_7_metrics_alpha_00001
3,3,3,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.782913401763909, 'betweenness': 1.2464883387813355, 'pagerank': 8.206701118079831, 'closeness': 7.03420759160562, 'katz': 2.263482447357104, 'eigenvector': 6.028208456011765, 'eigentrust': 4.755743221304143}",0.1356031665402556,0.0,0.7631578433812938,0.7869168453613136,0.02375900198001979,bayes_7_metrics_alpha_00001
4,4,4,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.7653979023280013, 'betweenness': 9.714354181474578, 'pagerank': 1.3514930490959411, 'closeness': 3.8208176034331855, 'katz': 9.051459971534626, 'eigenvector': 8.887502370664345, 'eigentrust': 7.230903541023826}",0.13275717701962042,0.0,0.7366094182958026,0.7761126291185155,0.03950321082271291,bayes_7_metrics_alpha_00001
5,5,5,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 5.798487564757154, 'betweenness': 2.5284737760811202, 'pagerank': 7.226894025554261, 'closeness': 8.903282530864718, 'katz': 9.621005771354518, 'eigenvector': 4.78996862504547, 'eigentrust': 1.8851215044974508}",0.13186186165290062,0.0,0.7413998425007003,0.7667515191164977,0.025351676615797403,bayes_7_metrics_alpha_00001
6,6,6,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.899749800158453, 'betweenness': 3.8396406790545665, 'pagerank': 7.733490889418555, 'closeness': 7.178508349134253, 'katz': 7.751298834504707, 'eigenvector': 1.1645944960977261, 'eigentrust': 8.511631047076357}",0.13127271630796064,0.0,0.7302268478709794,0.7564276751640894,0.02620082729311002,bayes_7_metrics_alpha_00001
7,7,7,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 3.6425273353631153, 'betweenness': 3.5239959285796467, 'pagerank': 3.5899780472771385, 'closeness': 8.103513956063397, 'katz': 9.17735952783786, 'eigenvector': 5.0310417355831465, 'eigentrust': 1.9290340591987782}",0.13323266834132394,0.0,0.7516056426470044,0.7781993461926965,0.026593703545692127,bayes_7_metrics_alpha_00001
8,8,8,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 5.424158433523044, 'betweenness': 2.170257149064499, 'pagerank': 1.4802629060537233, 'closeness': 1.1743026208326737, 'katz': 3.389919934350036, 'eigenvector': 2.9046530440005314, 'eigentrust': 7.109519796459018}",0.13675826253151582,0.0,0.8114295814088235,0.8273868441769658,0.015957262768142355,bayes_7_metrics_alpha_00001
9,9,9,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 4.726503890376115, 'betweenness': 6.167058449428118, 'pagerank': 7.249601419549706, 'closeness': 2.3205571741522912, 'katz': 1.9210098594504326, 'eigenvector': 7.297825240188381, 'eigentrust': 6.303749832129558}",0.1360624215729253,0.0,0.7456629976420123,0.7786218943476924,0.032958896705680085,bayes_7_metrics_alpha_00001
10,10,10,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.50135280391732, 'betweenness': 4.727613425742124, 'pagerank': 6.278995364517936, 'closeness': 1.4495811305147845, 'katz': 5.634002008524777, 'eigenvector': 6.974151806978099, 'eigentrust': 5.823067653239605}",0.13434369440520674,0.0,0.7386852233127328,0.7703931963541315,0.03170797304139872,bayes_7_metrics_alpha_00001
