,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
AQP4,-12.881368243120502,0.0032350792098135854,0.0016212764843756657,0.28074053605968496,0.02430671136464945,2.370622209715833e-05,0.0003751491257585204
FAM181A,-11.7453311575026,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
KLHL14,-11.7286631946891,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
SOX3,-11.7177205670111,0.0012964227792224788,0.0025267466702778908,0.29423689545322906,0.031715161974464716,0.0012482912985179726,0.001157701052112115
CYP26A1,-11.3559113413985,0.00018735492147159698,0.0004466091615678932,0.2367746446049872,0.021902184073944155,0.00020595272848460036,0.0001290146993462224
MYCN,-11.234888479486198,0.0012636862594952699,0.0007407052661115859,0.3020214030915576,0.02347529919481568,0.0009201359256663902,0.0002777018528480743
KCNQ2,-11.1576246839173,0.0008436224125582251,0.001386775689642547,0.29759812536613944,0.02514668630832822,4.38294358863501e-05,0.0003863578496378908
POU3F4,-10.9293402028089,0.001647792344250494,0.0015487463606665575,0.2817526344980588,0.026907341610638638,0.0004924590673448637,0.0009875114487192251
BTBD17,-10.907036328397501,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
SOX1,-10.7133849641945,0.0016875567089085412,0.0023218026282438944,0.2976853208321125,0.031426425782261715,0.0008992146120822925,0.0010556787898631514
CRABP1,-10.675399894747699,0.00010354717528829475,0.00034664239240554857,0.2231495717109598,0.021384680369213843,9.622619152732689e-05,2.6077439229555607e-05
SYT4,-10.6263904788103,0.0029045792013019695,0.0018179621074000487,0.2924582613701785,0.026152196033454436,2.0302124997856968e-05,0.0008941816662134493
NCAN,-10.4866029302204,0.00020518622848909377,0.0007101039356622598,0.26800316539171726,0.022672419839310093,2.831505945327906e-05,0.00032345174623326083
MMRN1,-10.430365610769801,0.0,0.00026858662399349654,0.16815623965574314,0.0211217754622341,5.226240807421103e-09,0.00012055096906996349
CRB2,-10.422187398460801,0.0025383609845689254,0.0006818476404276425,0.2698539176626826,0.023904325561494494,0.02484571159408507,0.00043874147756392475
NEUROD4,-10.2154272659222,0.0001136625321018137,0.00046187326605459536,0.25918367346938775,0.022406505822799384,0.00012444027624079537,0.0001271847036108153
HOXB1,-10.1939892054713,0.00022215659706955148,0.0005921304675235529,0.27151256012827363,0.023053132472810406,0.00036803133876811285,0.0002921130692644082
PTPRZ1,-10.1908661934083,0.005911835229705318,0.002254593775319736,0.3167082294264339,0.027321461773951977,0.00011257988844040166,0.0012944932333338209
KLHDC8A,-10.126540551430802,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
OLIG1,-9.98336127250329,5.0208571320749286e-05,0.0006444005703093854,0.2705005324813632,0.023796936254179973,0.000335711434326181,0.000215253248377297
GRM3,-9.972963428137929,0.0012934613792187513,0.001965134603131227,0.3000590667454223,0.029514845902288287,4.402184656923743e-05,0.0004895238592214843
SEMA5B,-9.9130632859658,0.0005887657498366065,0.0008839480530408067,0.27729257641921395,0.023260799914516076,1.2991146341583255e-05,0.000182084575673038
PAX7,-9.89570098660959,0.002747353661133224,0.0019025341752546229,0.30041395623891193,0.028591314495598062,0.0005355170262165012,0.0004879226129530018
FEZF1,-9.868141708425501,0.0004527025977826283,0.0011079930818126752,0.28603603603603606,0.02602583857647329,0.00043910493173377016,0.000365312898680705
SCGN,-9.86785084980698,0.0008920335547026015,0.0007655293841802339,0.2663171690694626,0.022479467053534596,5.5179773792839845e-06,0.0001852870682100009
LIN28B,-9.735639248099849,0.0006040354706382724,0.0005957894018284186,0.2747431043807464,0.022512869453496284,0.00011623896662550378,0.00020724701703488962
ZIC2,-9.68845055918907,0.001307394198091,0.0016241299276537136,0.2899543378995434,0.027551541625925408,0.0004945743184704026,0.000624714794174706
CBLN4,-9.57247852813026,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
TOX3,-9.561733060504949,0.00018607310044136609,0.0003199771763198506,0.2726784755770263,0.02175418447027296,0.00039764230276709706,4.003115671203721e-05
GRIA2,-9.49366879077825,0.009772707637615605,0.0051896613714408225,0.3239795918367347,0.03872420190692426,6.671978089851418e-05,0.0023881444347066795
FABP7,-9.418699896869269,0.0005910905378702179,0.0005763757677956804,0.2628719275549806,0.02238373957433562,0.0001216313753580682,0.00022120073451737125
PPM1N,-9.377787865506491,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
OLIG3,-9.33205915633048,0.0003268799377932434,0.00046046729054785096,0.2605128205128205,0.022519716658599115,0.0001723115675032524,8.051981235792615e-05
SOX21,-9.30877485017485,5.9623279678394784e-05,0.0009462988592587928,0.2741500269832704,0.02497828800230457,0.0004020002155394136,0.0007573894849917426
CYCSP35,-9.27354554530766,,,,,,
RP11-43P5.1,-9.2436085814268,,,,,,
RP11-93O17.2,-9.20472968092905,,,,,,
LPL,-9.20286398609553,4.617207846532392e-06,0.000324485871854525,0.22764956307416537,0.02136237949931345,9.977362015395144e-07,0.00011666222813222276
ELAVL4,-9.17491000050128,0.0012508990048129185,0.0010486757578320426,0.24558859076625575,0.022993076568565536,4.160458472303359e-06,0.0004872363645522245
ASCL1,-9.17150806310351,0.002421316606196912,0.0033300111808402476,0.2993517972893341,0.034751040401840794,0.0010712298577375565,0.001096624944442893
PCDH8,-9.13541743065945,0.0,0.0005705784095982696,0.5,0.021116871181394496,1.0494632128860902e-65,4.968944099378883e-05
FOXJ1,-9.12391862646212,0.002952208585617007,0.0011750092803333586,0.2917863296955773,0.024395334830982274,0.0002367413635959402,0.00028502183578970475
FBN3,-9.02318555882375,0.0,0.0001986985462902102,0.21149042464612824,0.02113806482134884,5.5767001400670846e-06,1.784245842022229e-05
RPGRIP1,-9.02135045076282,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
NELL2,-9.021293746746199,7.248602555732066e-05,0.0003454154156444367,0.21224148736160434,0.021362430823734315,7.965961443196244e-07,4.0717405112814995e-05
PRDM13,-8.9317980477475,2.9134374908318436e-05,0.0005547747043419335,0.2547642928786359,0.022818845855897666,9.406695636156988e-05,0.00011231598826063005
DBX2,-8.886409794181171,3.595776382544799e-07,0.00024185476773179654,0.2374941561477326,0.021483059113034105,3.063511628993902e-05,0.00012032221960303751
TKTL1,-8.84091501579127,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
UNC5D,-8.8075567190727,0.00019804816645858895,0.0006175456099834928,0.251984126984127,0.02234293224903195,4.489044903341112e-06,0.000216625745178853
PHYHIPL,-8.79931801943102,0.0,0.00022497013322200077,0.18905842947525123,0.02112956197653625,1.5934627631007563e-07,0.00010979974412444499
CLVS2,-8.79169837194554,0.00023616112631472317,0.00044797035011811983,0.25311410064773293,0.021907889649965498,2.7440962782453147e-06,0.00016858835712440815
POU3F3,-8.73492652062096,0.0021680257589447543,0.0016533198294797046,0.2948345908299478,0.027396989552816678,0.0005530594107169983,0.0011291073687463738
KHDRBS2,-8.72795889917564,3.251698264805841e-06,0.0003592473665716731,0.1823075542795622,0.021348292887389694,1.0615071978571607e-07,8.509480169644482e-05
IGDCC3,-8.725787452579349,0.001059801364705472,0.0014596077049482913,0.21835375026864387,0.023345076190246547,4.941165482679421e-07,0.0009548002749488201
CACNG5,-8.68790259885905,1.2006226014467435e-06,0.0006079403240885601,0.26527415143603134,0.023451898162604148,1.3905307626118984e-05,0.00028822432832666816
NKAIN4,-8.65051513797184,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
MTTP,-8.64925834117922,0.0,0.00022313845509365076,0.21013443640124094,0.021140948098422468,1.2732698783108746e-06,8.669604796492634e-05
HES3,-8.63316389004805,2.5145452193504152e-05,0.0004950197740916348,0.26743879968412737,0.022815981481799894,0.00018509335039023524,0.0001045385063851485
CYP4X1,-8.599781449724551,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
SCRT2,-8.56847676418728,0.0,0.00027749062649387894,0.20858140012317797,0.02136975708416607,1.0801247888218267e-05,4.80373880544446e-05
TRIM71,-8.56508008013529,0.001614804383808018,0.0009256039423840183,0.24155967665240133,0.022492796471681547,0.00011097693292307664,0.00017613708953296344
AC073055.2,-8.55874483148434,,,,,,
HES5,-8.534785222902581,5.9761354420611457e-05,0.0007145814737340063,0.26293995859213254,0.02385815199483629,0.00027593110984257816,0.00042067026967677906
DBX1,-8.533914053997849,9.106374080432945e-05,0.0007819146894713262,0.2713675213675214,0.024034925681664012,0.0001927629834057612,0.0003888740937740755
MLC1,-8.53327007769349,0.0,0.0002731951701012267,0.19022654933533048,0.02112399475391975,4.9677594405711205e-08,6.976858741240782e-05
SYT10,-8.53142664225745,0.0002274862274647106,0.0008530896356826482,0.24481927710843374,0.02285391367416285,2.472628954167531e-06,0.00027770185284807557
LRRC3B,-8.51897062919491,0.0009929718710897457,0.0008934740500397335,0.23270728355474118,0.022474747221396398,2.4060630305937723e-06,0.00023744194666911231
PMP2,-8.5024349447443,0.0,0.00018683192911005152,0.24476029872319924,0.021290832801521227,1.9116262049414236e-06,1.1208723879370429e-05
RFX4,-8.49580342936896,3.054667079668252e-05,0.00042083406213168145,0.24672170956775133,0.02195634005616031,6.283427416215563e-05,0.0001267272046769634
TFAP2B,-8.48476370615163,0.000627540532925631,0.0004749177251607699,0.25845840752989063,0.02168198299014879,1.9804965169649236e-05,0.0001768233379337417
GSX1,-8.468294054663481,1.1438667436092049e-05,0.0005718610808460058,0.25865580448065173,0.023279270526419003,0.0001673695470067703,0.00015166089657188945
TMEM257,-8.456387857069629,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
LHX5,-8.453106793118941,0.00187796492584957,0.0016334364457003079,0.28571428571428575,0.02688804170820175,0.000373252749460827,0.0009422190542678926
LRP2,-8.448947999875669,0.0020007051427767112,0.0013558521056012387,0.272751677852349,0.023683542303670757,2.507256516698372e-05,0.0007827806758205222
NXPH1,-8.44111711580312,0.0,0.00021212174253582301,0.22010398613518195,0.021168489480239385,3.9352508409763517e-07,8.669604796492638e-05
OTX2,-8.42797883578509,0.0025662034182866843,0.0024473717120182046,0.28912919749573135,0.03003085634414872,0.0005807588800323739,0.0010273138559643371
HS6ST2,-8.413870280052741,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
DDC,-8.41288137235329,0.0003112467675957005,0.0008188883553845887,0.24230860958740758,0.022810276277261166,3.815627364602661e-06,0.00039871032085189094
CELF3,-8.391887122861661,0.0002082783584190491,0.0007968594161797984,0.212596777568529,0.022251579743320753,1.167246801602053e-06,0.00026031689336170494
SLC17A6,-8.38302997542685,0.0033511147936921446,0.0014315816048186588,0.31621537503890446,0.0259383824648934,0.00017368555277030257,0.00037217538268848326
C21ORF62,-8.37618074346905,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
OLIG2,-8.373934865559269,0.0005159099412760594,0.0013534053550282013,0.29003711104767343,0.02726182135675925,0.0005654073356847839,0.0006482759892680763
NXPH2,-8.35791217414298,0.0,0.00021212174253582301,0.22010398613518195,0.021168489480239385,3.9352508409763517e-07,8.669604796492638e-05
NEUROG1,-8.337551237005322,0.00025023729407480763,0.0013485189382990727,0.2801213123793769,0.02716744097377934,0.0005474650363265481,0.00030583803727996406
PRTG,-8.30109599593051,8.763140328923221e-07,0.0005914473039679197,0.16936156026004334,0.02177659081352678,1.1803380356040972e-08,0.0003154455148908536
ELAVL3,-8.2925017784744,0.0022966932510746405,0.0010123143771020378,0.26205829249419654,0.02305387950508955,2.1207488081045597e-05,0.0003440391982565943
C6ORF118,-8.24632152689565,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
GFAP,-8.23916714292078,0.0011451080263858455,0.0009315579529937595,0.29195402298850576,0.02445905370270013,5.2207888118403726e-05,0.00047968763214366913
CAMKV,-8.22316766895363,0.00014128345623795092,0.0005283750259771627,0.25813008130081305,0.022250166585426098,3.680005720823316e-06,0.00017705208740066757
DCX,-8.21260787360818,0.0005719887295310225,0.0006828498452169367,0.2431203637233788,0.02205663484806383,3.1182722598134495e-06,0.0005343587547389657
FOXB1,-8.20776733014905,0.0006725614546288156,0.000973851131532941,0.2659685863874346,0.02413306648622884,0.000301411169267614,0.00023652694880140821
TMEM132C,-8.17917240626021,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
LRRN1,-8.16693291243873,0.0004046709528429474,0.0005518710901040162,0.26246447946267115,0.0221503885769525,2.4965152364978933e-05,0.00027038186990644585
DPYSL5,-8.16366978458479,0.0002503146422248215,0.0006050247234997479,0.1982439024390244,0.02155528760129191,7.167983479940844e-07,0.00022463197652126046
DACT2,-8.13137023701292,0.0,0.00019196742127972478,0.22628062360801782,0.021164961969437974,6.028029471805074e-06,4.231865138129649e-05
TRAPPC13P1,-8.12923347940083,,,,,,
CCDC177,-8.112902902845839,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
BCAN,-8.072154991358499,0.0006496189137952853,0.0008298810658299347,0.24535136440473315,0.02250128135950636,5.030520914487332e-06,0.0003234517462332608
