,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
MMP3,10.6156421509457,0.001153458512675214,0.0012461315959476256,0.299017313991577,0.02573995493318931,0.02377403598578758,0.0017346087395483858
TMC5,10.1263654660954,0.0,0.00010467185373852977,,0.020607060653756556,0.0,0.0
FOXF1,10.1145414553198,0.0007473646813826492,0.000895994998210581,0.2742489270386266,0.023600958488930977,0.0067128689104346065,0.0002794015912064175
SERPINB2,9.49933342311962,0.00015441723883456688,0.00036448540367883244,0.24801086745585096,0.02133510808745834,0.001473980712176035,0.00017346087395483866
PSG5,9.44857064937671,0.0,0.00010467185373852977,,0.020607060653756556,0.0,0.0
LCE2A,8.988766907197311,1.2518771898461744e-07,0.0007065969671536801,0.611111111111111,0.021713884865928103,2.617053760730336e-31,0.0008653655309295408
HSPB6,8.945175855561631,0.00022600722395922,0.0005190732161964037,0.2861621137483206,0.022501012271512428,0.00673638334356795,0.0005049234614072035
KRT14,8.93064955149871,0.0020392576934370275,0.0011058021947605923,0.32436548223350253,0.02528292149433649,0.018918904978352285,0.0009532391146692495
MMP1,8.82690377698844,0.00027757656037932083,0.0006995934773807086,0.28545901273174,0.023488563927849097,0.016196432901107505,0.0008654856450145092
HOXC11,8.70564537790946,0.00011026768852485468,0.0006382621243455202,0.2485414235705951,0.02281826563888728,0.00311190661597369,0.0003210049200841834
HOXA11,8.61891549264978,0.0002972857500828184,0.0005777755598485476,0.27466150870406186,0.0226573650112584,0.005723947983881679,0.0002621237059894217
CD177,8.59445162430199,0.0,0.00022012659863487988,0.1993137866500312,0.020822285680015828,3.156796986175463e-05,0.00010912348558102566
HOXA13,8.59217249035001,0.00032331334113771593,0.0005631869915916947,0.25812967077358107,0.0223105840719636,0.002604580674441358,0.00014504329958477975
TMEM8C,8.52463382782813,0.0,0.00010467185373852977,,0.020607060653756556,0.0,0.0
PSG4,8.27278994987215,0.0006394588685734258,0.0006328596900831466,0.21421387864565875,0.021249177117597506,0.00030871265596636786,0.00038488762726807574
MTRNR2L7,8.263712462397491,0.0,0.00010467185373852977,,0.020607060653756556,0.0,0.0
MYOD1,8.175539976908059,0.004403645652409927,0.0017920746220110636,0.31610190452634185,0.02609695393145073,0.017261284812721312,0.0011585276719185546
MTND4LP30,8.14311600029045,,,,,,
HOXC10,8.04345139074167,0.00017340516070982672,0.0007168157839325371,0.2451563399194322,0.02303886290105313,0.00276575229556376,0.00030008958534782015
