,sign_id,pert_id,pert_desc,score
0,CPC014_HT29_6H:BRD-K76723084-001-15-8:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K76723084;BRD-K22503835,GR-102;-666,0.8324983975430735
1,CPC014_HT29_6H:BRD-K76723084-001-15-8:10;CPC003_HA1E_24H:BRD-K22503835-001-06-0:10,BRD-K76723084;BRD-K22503835,GR-102;Scriptaid,0.8368039842852442
2,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CVD001_HUH7_24H:BRD-K37312348-001-05-1:15.3,BRD-K22503835;BRD-K37312348,-666;-666,0.8378346987409591
3,CPC017_MCF7_24H:BRD-K26521938-001-04-9:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K26521938;BRD-K22503835,-666;-666,0.8395965635667972
4,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;HOG003_A549_6H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,-666;scriptaid,0.8396301549869489
5,HOG003_A549_6H:BRD-K22503835-001-06-0:10;CVD001_HUH7_24H:BRD-K37312348-001-05-1:15.3,BRD-K22503835;BRD-K37312348,scriptaid;-666,0.8397091665480281
6,CPC014_HT29_6H:BRD-K76723084-001-15-8:10;HOG003_A549_6H:BRD-K22503835-001-06-0:10,BRD-K76723084;BRD-K22503835,GR-102;scriptaid,0.840321969886544
7,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CPC004_PC3_24H:BRD-K54233340-300-01-0:10,BRD-K22503835;BRD-K54233340,-666;Dorsomorphin dihydrochloride,0.8403510181532826
8,HOG002_A549_6H:BRD-K71879491-001-22-6:0.1234;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K71879491;BRD-K22503835,ATRA;-666,0.8406961442126344
9,CPC003_HA1E_24H:BRD-K22503835-001-06-0:10;CVD001_HUH7_24H:BRD-K37312348-001-05-1:15.3,BRD-K22503835;BRD-K37312348,Scriptaid;-666,0.8407726839812404
10,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CPC004_PC3_6H:BRD-A55416093-001-03-1:10,BRD-K22503835;BRD-A55416093,-666;COLFORSIN,0.8416044861626044
11,CPC002_HA1E_24H:BRD-K37312348-001-06-9:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K37312348;BRD-K22503835,Kenpaullone;-666,0.8417744808832077
12,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CPC006_A375_24H:BRD-K53903639-001-01-3:80,BRD-K22503835;BRD-K53903639,-666;480743.cdx,0.8417888253020608
13,HOG003_MCF7_6H:BRD-K22503835-001-06-0:0.013;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,scriptaid;-666,0.8418191135584954
14,HOG003_A549_6H:BRD-K22503835-001-06-0:10;CPC003_HA1E_24H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,scriptaid;Scriptaid,0.841997297138021
15,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;ASG001_PC3_24H:BRD-K71879491-001-17-6:0.4,BRD-K22503835;BRD-K71879491,-666;tretinoin,0.8423539201489061
16,CPC001_PC3_24H:BRD-K26521938-001-04-9:10;CPC003_HA1E_24H:BRD-K22503835-001-06-0:10,BRD-K26521938;BRD-K22503835,Prostaglandin E2;Scriptaid,0.8424130695075656
17,HOG003_A549_6H:BRD-K22503835-001-06-0:3.33;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,scriptaid;-666,0.8424784704607661
18,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CPC004_HA1E_6H:BRD-A55416093-001-03-1:10,BRD-K22503835;BRD-A55416093,-666;COLFORSIN,0.8426758755705247
19,HOG003_A549_6H:BRD-K22503835-001-06-0:10;CPC006_A375_24H:BRD-K53903639-001-01-3:80,BRD-K22503835;BRD-K53903639,scriptaid;480743.cdx,0.8429986908244949
20,CPC014_HT29_6H:BRD-K76723084-001-15-8:10;CPC015_ASC_24H:BRD-K22503835-001-06-0:10,BRD-K76723084;BRD-K22503835,GR-102;-666,0.8432320211318731
21,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CPC001_PC3_24H:BRD-K26521938-001-04-9:10,BRD-K22503835;BRD-K26521938,-666;Prostaglandin E2,0.8432542803183675
22,CPC015_A549_24H:BRD-A55416093-001-03-1:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-A55416093;BRD-K22503835,-666;-666,0.8432754864849918
23,CPC015_SKB_24H:BRD-K22503835-001-06-0:10;CPC003_HA1E_24H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,-666;Scriptaid,0.8433608155793465
24,CPC004_HA1E_24H:BRD-K09602097-001-04-5:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K09602097;BRD-K22503835,Forskolin;-666,0.8437608463249515
25,HOG003_A549_24H:BRD-K22503835-001-06-0:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,scriptaid;-666,0.8437696179468355
26,CPC017_MCF7_24H:BRD-K26521938-001-04-9:10;CPC003_HA1E_24H:BRD-K22503835-001-06-0:10,BRD-K26521938;BRD-K22503835,-666;Scriptaid,0.8438271353305302
27,CPC002_VCAP_6H:BRD-K37312348-001-06-9:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K37312348;BRD-K22503835,Kenpaullone;-666,0.8439510869152584
28,CPC015_ASC_24H:BRD-K22503835-001-06-0:10;HOG003_A549_6H:BRD-K22503835-001-06-0:10,BRD-K22503835;BRD-K22503835,-666;scriptaid,0.8440354191793125
29,CPC004_PC3_24H:BRD-K09602097-001-04-5:10;CPC003_HA1E_24H:BRD-K22503835-001-06-0:10,BRD-K09602097;BRD-K22503835,Forskolin;Scriptaid,0.8440474166722978
30,CPC004_PC3_24H:BRD-K09602097-001-04-5:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K09602097;BRD-K22503835,Forskolin;-666,0.844100917594648
31,CPC006_PC3_24H:BRD-K54233340-300-01-0:10;CPC015_SKB_24H:BRD-K22503835-001-06-0:10,BRD-K54233340;BRD-K22503835,Dorsomorphin dihydrochloride;-666,0.8441515863532364
