,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
NEUROD6,-11.440811812320499,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,12.72062854544541
HBE1,-10.3321235597298,5.007508759384697e-07,0.0013407560394801004,0.6666666666666666,0.022957017721735296,7.881479462616762e-66,7.881479462616766e-66,3.1623147839546783e-62,0.0004876355013550154,19.355806556238893
HBZ,-10.2722204734133,5.007508759384698e-07,0.0013670704247553676,0.6000000000000001,0.022948059087820445,6.461188707999035e-66,6.46118870799904e-66,2.5924463382973223e-62,0.0004220867208672099,18.48246252477508
ELAVL4,-9.50066559699473,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,10.736844874305103
HBG1,-9.48602229422058,5.007508759384697e-07,0.0013407560394801002,0.6666666666666666,0.022957017721735296,7.881479462616762e-66,7.881479462616769e-66,3.1623147839546783e-62,0.0003668699186991883,17.908463379463132
RP11-864N7.2,-9.345937306482211,,,,,,,,,10.345937306482211
SLC17A6,-9.06448066505182,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,10.290849341210448
DCX,-8.792358936837442,0.00010465693307114018,0.0020147473000847417,0.1266427718040621,0.023200924873611826,0.16436603106197462,0.1643660310619746,0.1643660310559161,0.000829783663633318,17.872398842129684
HMP19,-8.58303558803946,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.798575679161921
RP11-234N17.1,-8.47570204072537,,,,,,,,,9.47570204072537
HBG2,-8.44563188000417,5.007508759384697e-07,0.0013407560394801002,0.6666666666666666,0.022957017721735296,7.881479462616762e-66,7.881479462616769e-66,3.1623147839546783e-62,0.00046087398373983904,16.133157403541436
CARTPT,-8.42268557243964,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.634619096868661
HES5,-8.41861500394195,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.630456973800724
NEUROG1,-8.21467957379363,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.421934660843357
SCGN,-8.19612757424013,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.402965392707525
SOX1,-8.15670050619271,0.0,0.0008577980952146962,0.15730337078651685,0.022488734790797504,6.370018603837309e-83,6.370018603837313e-83,1.564379829423392e-78,0.00015066365433492694,10.846323772944688
ASCL1,-8.14603623737372,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.351747409569853
C21ORF62,-8.012119785526401,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.21481893048244
GRIA2,-7.959093356063219,0.0008042059067571826,0.002933728189697747,0.11007268951194185,0.023652884593222265,0.0010660997565595718,0.0010660997565595718,0.0010660997565202757,0.0010991174884734764,10.262540773808196
PRPH,-7.89549394099378,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.09556995626123
FAM181A,-7.81566953213479,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,9.013950149670364
RP11-621K7.1,-7.699705125041809,,,,,,,,,8.69970512504181
POU3F4,-7.6744995211908,0.0,0.0007793961312598957,0.178343949044586,0.02249105297362464,2.7361199515116735e-82,2.7361199515116735e-82,6.719495074079194e-78,0.0003029652640496892,10.462752010018646
SYT4,-7.6314174998578705,0.0,0.0007043463245985397,0.10939112487100103,0.022498012590381634,4.6382797990346696e-07,4.638279799034668e-07,4.6382797988637034e-07,0.0001442334143953006,9.799373460312987
TH,-7.613453540857201,0.0,0.0007204381102049231,0.11923509561304838,0.0224912848356581,0.018720984486385657,0.018720984486385657,0.01872098448569561,0.00013363667374584023,10.430252219031884
PHOX2B,-7.47778142983847,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,8.668462322663737
RTN1,-7.45281803473423,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,8.642937454902317
KLHDC8A,-7.44947223826446,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,8.639516405317877
KLHL1,-7.41768918160272,0.0,0.0011678751456448834,0.6666666666666666,0.022486439331092456,1.3363807196703803e-213,1.336380719670379e-213,9.713128753980745e-202,0.0005141612200435731,14.369092414373485
NCAN,-7.3823953423517406,0.0,0.00022742779168072655,,0.022259348557651534,0.0,0.0,0.0,0.0,8.570930826678854
SLC6A3,-7.31156886425014,0.0010540805938504788,0.0018296515340493632,0.1266427718040621,0.022950265598589925,0.020158067357787714,0.020158067357787714,0.020158067357044694,0.0004206317330017721,10.203759832880541
