,,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust,inf_score
up,AADAC,0.8550639991456964,0.0,0.0,,0.0,0.0,0.0,8.000778622588895
up,KRTAP1-5,0.8231579654340696,0.0,0.0,,0.0,0.0,0.0,7.739550130963559
up,MMP3,0.7850531616877086,0.06695167976995907,0.16763115945869014,0.08112313234648867,0.14803251729533917,0.0014276568322294642,0.2078169685414678,158.17908001955732
up,IL6,0.7556443478347887,0.000813733113236997,0.11055125255004308,0.08921670981803155,0.08816705429916816,0.008437686325733442,0.1347116301239275,56.4641664211536
up,HINT3,0.7483061270125109,0.0,0.0,,0.0,0.0,0.0,7.126705769831899
up,ANPEP,0.7458682381426753,0.0,0.0,,0.0,0.0,0.0,7.1067457197055415
up,CARD16,0.7123406103079095,0.0,0.0,,0.0,0.0,0.0,6.832240535945898
up,PSG5,0.7031598555460485,0.0,0.0,,0.0,0.0,0.0,6.757073727683261
up,CXCL8,0.6999536668083053,0.0019603582527194193,0.15511728503580505,0.3246209846892825,0.0869624845796575,9.020949660510865e-56,0.1650305281772454,120.5795104664802
up,MMP1,0.6929604827565459,0.0,0.031222680914126392,0.060000711426033124,0.03006709665531515,0.0002502033997995123,0.05284795042897991,17.699653133558044
up,LRRC15,0.6879907344759245,0.0,0.0,,0.0,0.0,0.0,6.632877575562148
up,DPT,0.676936737095281,0.0,0.0,,0.0,0.0,0.0,6.5423737201386
up,SERPINB2,0.6693627929854306,0.0,0.059389705458103986,0.26797629308257714,0.02945848075094526,1.8921745268847717e-66,0.049735541351908746,35.563796897913775
up,PSG4,0.6569401983961082,0.00014851198884238025,0.1528522261545932,0.5677574302011409,0.08696546020046325,1.8437980353403653e-58,0.1410122560672281,153.26548126439033
up,MYL7,0.6330131286334625,0.0,0.0,,0.0,0.0,0.0,6.182752148591102
up,MYL2,0.626575349457782,0.0,0.05631822969237693,0.0965800335043691,0.05903080293440155,0.012582376255701602,0.09806959008579594,33.05985870064566
up,IGFBP6,0.625563115031889,0.0,0.0,,0.0,0.0,0.0,6.121755666442395
up,THBS1,0.6249987351201762,0.011264816233006044,0.09013559104627343,0.11717327896398645,0.08952139600510112,0.024985358250249282,0.07745471877979025,48.65046253281426
up,TBX5,0.6208274519019047,2.970239776847605e-05,0.1391225947899392,0.7838787151005704,0.08725149150651346,3.030601894105496e-59,0.17723711846492318,209.78740536205981
up,TGFBI,0.6205788896894698,0.0,0.0,,0.0,0.0,0.0,6.080947658781874
up,ADIRF,0.6068428568140987,0.0,0.0,,0.0,0.0,0.0,5.968484819264417
up,SERPINB7,0.5966224337121835,0.0,0.0,,0.0,0.0,0.0,5.884805796831958
up,FOXF1,0.5966046627109092,0.0,0.0,,0.0,0.0,0.0,5.884660297961759
up,CXCL1,0.5907658558542416,8.910719330542814e-05,0.08601779779610663,0.21956202675205982,0.05893465242848395,1.4916129780790222e-55,0.12444925075661156,51.46708379650969
up,SRGN,0.5906930499506237,0.0,0.0,,0.0,0.0,0.0,5.836259368582695
up,WNT2,0.585835781822295,0.0,0.0,,0.0,0.0,0.0,5.796490814520122
up,CEMIP,0.5805591065482479,0.0,0.0,,0.0,0.0,0.0,5.753288392837301
up,XG,0.5797065551223547,0.0,0.0,,0.0,0.0,0.0,5.746308185738166
up,MYH6,0.5770063712501272,0.00029530698923321456,0.0942478928795836,0.12158369743838109,0.12524548547055359,0.11068632772394163,0.20352716873212573,129.01022475799473
up,IL24,0.5668619037852338,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.08491797719714791,74.90077676736954
up,PRKCDBP,0.5655806226263924,0.0,0.031763993612315564,0.09620212210704714,0.029816312111862864,0.0009853215748913944,0.040991420400381395,16.24841241685866
up,AC004231.7,0.5648837282715828,,,,,,,5.624947294100933
up,S100A4,0.5600012435167471,0.0,0.034361471366391866,0.08991536508703314,0.030370794038456772,0.002443859010342611,0.05743565300285988,17.82178035291857
up,KRTAP2-3,0.558472354645879,0.0,0.0,,0.0,0.0,0.0,5.572454606459888
up,FAM180A,0.5566905088553054,0.0,0.0,,0.0,0.0,0.0,5.557865864644233
up,ITGBL1,0.5554104565613414,0.0,0.0,,0.0,0.0,0.0,5.54738552312087
up,C10ORF54,0.5541953286262953,0.0,0.0,,0.0,0.0,0.0,5.537436745392092
up,LTBP2,0.553285787270605,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548,137.34734564240296
up,DCN,0.552439993567949,0.1874588291993741,0.22350817314572494,0.18066581771580492,0.2187738157525141,0.13075018659298474,0.16891086749285025,715.5421681400306
up,AREG,0.5523844049145098,0.003459553015086636,0.07757806646562099,0.09313179405224377,0.05838078502486166,0.0011787658274686847,0.06255958055290753,24.37302560117123
up,ENG,0.5507967108032132,0.028351427803082998,0.10528232483679387,0.1553779797139006,0.1261920960094738,0.09868415354761621,0.10486177311725457,118.27763031960903
up,TWIST2,0.5500330431801475,0.0,0.0,,0.0,0.0,0.0,5.503358315003703
up,KRT34,0.5497933445699182,0.0,0.0,,0.0,0.0,0.0,5.501395798855165
up,KRT7,0.5487368040349567,0.0,0.0,,0.0,0.0,0.0,5.492745444731441
up,SIAE,0.5477376493347589,0.0,0.11258064457541156,1.0,0.05777260500145731,2.5870931986343668e-73,0.13001421162550708,161.2010112785241
up,ACKR4,0.5476354189670388,0.0,0.0,,0.0,0.0,0.0,5.483727929029199
up,IL1B,0.5449999335911814,0.032671152425435224,0.12399922415463976,0.0992155928424766,0.08757837394981216,0.00227810364510591,0.10539799809342232,50.13424050530804
up,LY96,0.5420916732070215,0.0,0.026742712592624587,0.09910421345731728,0.030728679565045436,0.004653931503731349,0.05189466158245953,17.329106794637493
up,COL6A3,0.5416968676138574,0.0,0.0,,0.0,0.0,0.0,5.4351064417439945
up,SERPINE1,0.5368069724263259,0.0008613695352858054,0.18310424932954159,0.48813379892240355,0.08723697978899958,4.3261229238556385e-66,0.25119306747159426,178.64829116120202
up,MMP12,0.5312528164644522,0.0,0.0,,0.0,0.0,0.0,5.349596479807774
up,CAV1,0.5300662587394156,0.07055356272844257,0.22823514592504154,0.13071391416088862,0.14464343453610917,0.017709026970859708,0.1358436606291707,138.69583448888125
up,MT1L,0.5296739576261548,,,,,,,5.336669679925798
up,FN1,0.5279889351212356,0.07978718086810878,0.21401403005464137,0.17661239197225292,0.22047202323231696,0.18290809444389602,0.3074356530028599,768.1153222947253
up,OSR2,0.5271120242176186,0.0,0.0,,0.0,0.0,0.0,5.3156940235341175
up,KRT14,0.5255259044701605,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.1279282033082234,85.76657488411227
up,CD248,0.5249023964449424,0.0,0.0,,0.0,0.0,0.0,5.297602845692125
up,DPP4,0.5231038580649352,0.0,0.0,,0.0,0.0,0.0,5.282877434430231
up,PTGS2,0.5228960217498039,0.015920485203903167,0.09932102101858567,0.0441861883963936,0.05807382976311004,3.067969203828419e-05,0.05517159199237362,21.05106225819718
up,IGFBP3,0.5222106946115872,0.0,0.0,,0.0,0.0,0.0,5.275564719104918
up,PTGS1,0.5215768042864558,0.0,0.039377186012109766,0.04413253723005933,0.029476360164923054,3.023690875735513e-05,0.028122020972354587,11.262595401774291
up,MYBPC3,0.51389425586128,0.0,0.028694482020851887,0.11643454322949666,0.03218969548974915,0.018654515267343352,0.02472592945662535,16.708729459691753
up,CASP1,0.5126077433865684,0.021820278229746044,0.09985267334937142,0.11832592036228583,0.08887704283663389,0.00940641124966775,0.08984747378455675,43.904141418820366
up,APCDD1L,0.512194304022296,0.0,0.0,,0.0,0.0,0.0,5.193556199060722
up,INHBA,0.5074862356898279,0.03181126801003785,0.15674816948185138,0.11697125679497607,0.11862044314905162,0.009412898716350922,0.16897044804575803,83.40036970569595
up,COL12A1,0.5071871433907541,0.0,0.0,,0.0,0.0,0.0,5.152560410272759
up,TRPA1,0.5056045306330347,0.0,0.0,,0.0,0.0,0.0,5.13960287542958
up,MEDAG,0.5034744062485593,0.0,0.0,,0.0,0.0,0.0,5.122162626197722
up,ECM1,0.5033626055450195,0.0,0.0,,0.0,0.0,0.0,5.12124726550412
up,TRBV12-4,0.49945515674488483,,,,,,,5.089255292907713
up,S100A3,0.4979631692153629,0.0002668369399526952,0.07445999378569049,0.08700930339279088,0.0583985273012555,0.002288413260334505,0.09467349857006678,25.14355097514262
up,MRGPRF,0.49792460472164035,0.0,0.0,,0.0,0.0,0.0,5.076724001804596
up,LCE2A,0.4969379763503158,2.970239776847605e-05,0.17343364601572622,1.0,0.05719476338312024,8.97578261242193e-91,0.12270005776434548,166.49553805558
up,NNMT,0.4945515753988995,0.0,0.0,,0.0,0.0,0.0,5.049107552510037
up,COL6A2,0.4921712938237788,0.0,0.0,,0.0,0.0,0.0,5.029619158210316
up,CXCL9,0.491299025881475,0.0,0.0,,0.0,0.0,0.0,5.022477523467478
up,TNFAIP6,0.48912673001756957,0.0,0.0,,0.0,0.0,0.0,5.0046919981019355
up,PTCH2,0.4876283877966153,0.0,0.0,,0.0,0.0,0.0,4.992424422575122
up,TIMP1,0.4863493451981834,0.030252882207118765,0.20052821323738426,0.08098801993475634,0.17585202058678195,0.0020826827140063213,0.2635247855100092,115.10704733463977
up,S100A6,0.48603102184157376,0.0,0.0,,0.0,0.0,0.0,4.979346096927359
up,EPAS1,0.483736216947276,0.033443450888017756,0.09358582077874554,0.15104453356870767,0.09372361021803055,0.0454325146293083,0.0872259294566254,65.02276738196454
up,FOXL1,0.48362670551544396,0.0,0.0,,0.0,0.0,0.0,4.959660919730414
up,DKK1,0.48242006519452785,0.0,0.0,,0.0,0.0,0.0,4.949781633767886
up,WNT16,0.4810608985168833,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.11029898372571402,74.01496018691586
up,LOX,0.4801094526274775,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.12270005776434548,78.01622347387837
up,PDCD1LG2,0.47949159842591693,0.0,0.0,,0.0,0.0,0.0,4.925805010297436
up,IL1R1,0.4777029711012165,0.10572467414041137,0.16131924383751045,0.12436907884265012,0.11860561740632836,0.009278740691865978,0.19047902764537655,136.27679982516977
up,CDA,0.4773832965701581,0.24538582676716983,0.27527694736739394,0.1322643201671838,0.20675141342816827,0.012459334574616314,0.18517635843660601,384.9318513202171
up,C1S,0.47736634026117,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.13729781383277243,82.48625583394653
up,LGALS1,0.4747605749263488,0.12053660949298228,0.25397477904507315,0.12487716259738758,0.20712202982565087,0.018322119809679294,0.18732125834127744,244.02092787477937
up,CXCL12,0.474689631427209,0.0007722623419803773,0.12091153872952445,0.17266070624437108,0.05776974470299745,6.206896043769865e-57,0.10327235426354514,37.71603801658449
up,AKR1C3,0.47361796369406506,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548,121.14691326600867
up,HOXC11,0.47305443321503715,0.0,0.0,,0.0,0.0,0.0,4.873101155798329
up,C1R,0.47285812600779853,2.970239776847605e-05,0.17343364601572622,1.0,0.05719476338312024,8.97578261242193e-91,0.12270005776434548,160.01945901225668
up,CCNL1,0.46953594542585175,0.0,0.0454571998772071,0.07991519374765656,0.028889608906918607,0.0005474567066900656,0.05171591992373698,14.500597056596801
up,CD109,0.4687258398285188,0.0,0.0,,0.0,0.0,0.0,4.837661090403816
up,VIT,0.46549998292017725,0.0,0.0,,0.0,0.0,0.0,4.811249605291577
up,GPNMB,0.4652123794293399,0.0,0.0,,0.0,0.0,0.0,4.808894871175244
up,FERMT1,0.4650183409209534,0.0,0.0,,0.0,0.0,0.0,4.807306194020285
up,RCN3,0.46476770203048046,0.0,0.0,,0.0,0.0,0.0,4.805254105067685
up,GALNT5,0.46363262864238697,0.0,0.0,,0.0,0.0,0.0,4.795960768524019
up,ANXA10,0.4625446590346838,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548,118.89515948055259
up,CCL11,0.4615540571969139,0.0,0.08835749122450683,0.16498594470674932,0.05835946815812765,1.1136268701661637e-55,0.0864801015377653,30.387151930438673
up,SAA1,0.4593471324192845,0.0,0.0,,0.0,0.0,0.0,4.760873558238172
up,PTRF,0.45079900781657556,0.0,0.042177397243500434,0.09620212210704714,0.0297550107895157,0.0021274764728284774,0.028062440419447103,12.929168627746506
up,KRTAP4-12,0.45067573302561537,0.0,0.0,,0.0,0.0,0.0,4.689877062579623
up,AOX1,0.449280980370938,0.0,0.0,,0.0,0.0,0.0,4.6784576196157985
up,TBX3,0.44859698490221844,0.0,0.0,,0.0,0.0,0.0,4.672857453008218
up,FXYD5,0.4475164595658848,0.0,0.0,,0.0,0.0,0.0,4.664010724946543
up,S100A16,0.4473114468445536,0.0,0.055722362027447056,0.03842652933976859,0.028886390436512865,2.4989054451946754e-06,0.03836987607244986,10.889057365688592
up,CLEC3B,0.44730112009491274,0.0,0.0,,0.0,0.0,0.0,4.662247647602056
up,BGN,0.4468359106188001,0.06332551204239095,0.11015590963038294,0.10990101146968338,0.08965225556228607,0.007427667022596212,0.07239037178265008,46.86359516549921
up,LOXL4,0.446445244188713,0.0,0.0,,0.0,0.0,0.0,4.655240221545411
up,CASP4,0.4461951698036296,0.015920485203903163,0.10148926057822885,0.0736838307421417,0.05778180058409266,0.0002776880486280298,0.05403956148713061,21.218105185281836
up,TNFRSF11B,0.44532154479831754,0.0,0.04863765867729222,0.07643975952314118,0.02917570519381618,0.0001759606290229653,0.032828884652049604,12.224289177660953
up,FCGR2A,0.44507216706637587,0.0,0.04498307183385915,0.09245818926812742,0.028910578390829667,0.0008797352033403054,0.027943279313632052,12.52470747357556
up,FOLR3,0.44280566370480545,0.0,0.0,,0.0,0.0,0.0,4.625441402658884
up,CSF3,0.4424579357291163,0.0,0.0,,0.0,0.0,0.0,4.622594403392031
up,PODN,0.4422569362921803,0.0,0.0,,0.0,0.0,0.0,4.620948734105686
up,COL1A1,0.4420277049439799,0.10368056487032268,0.1880474469060978,0.1494830481257578,0.17929085372618614,0.033861343333859574,0.15568398474737835,187.76613531495244
up,NANOGNB,0.441701756596496,0.0,0.0,,0.0,0.0,0.0,4.616403237921627
up,COPZ2,0.4413098863834616,0.0,0.0,,0.0,0.0,0.0,4.6131948270740395
up,APBB1IP,0.4411741965244069,0.0,0.02677634680158238,0.10902940882146912,0.03193951398951844,0.028433980849194046,0.04820066730219258,17.959074141836137
up,TGM2,0.4411732579629116,0.0,0.04732759245432536,0.06242676504068005,0.028889437393841533,0.00012431105668011787,0.030922306959008546,11.20051628022682
up,TMEM171,0.44018616375200104,0.0,0.0,,0.0,0.0,0.0,4.6039944240820905
up,BDKRB1,0.43996575057259957,0.0,0.0,,0.0,0.0,0.0,4.602189806093223
up,BDKRB2,0.43978488282560346,0.0,0.0,,0.0,0.0,0.0,4.600708963655755
up,SH2D4A,0.43965362211992953,0.0,0.0,,0.0,0.0,0.0,4.599634275511727
up,PCOLCE,0.4392911235982556,0.0,0.0,,0.0,0.0,0.0,4.5966663433992885
up,APOL3,0.4388924924000206,0.0,0.0,,0.0,0.0,0.0,4.593402577442951
up,HOXA13,0.4377608509933205,0.0,0.0,,0.0,0.0,0.0,4.584137340014668
up,COL1A2,0.43314901329846933,0.04663162728610478,0.19824211076924184,0.13870032151757933,0.1783471796968743,0.02703354309181775,0.14781935176358424,122.52271026760748
