,,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
up,AADAC,0.8550639991456964,0.0,0.0,,0.0,0.0,0.0
up,KRTAP1-5,0.8231579654340696,0.0,0.0,,0.0,0.0,0.0
up,MMP3,0.7850531616877086,0.06695167976995907,0.16763115945869014,0.08112313234648867,0.14803251729533917,0.0014276568322294642,0.2078169685414678
up,IL6,0.7556443478347887,0.000813733113236997,0.11055125255004308,0.08921670981803155,0.08816705429916816,0.008437686325733442,0.1347116301239275
up,HINT3,0.7483061270125109,0.0,0.0,,0.0,0.0,0.0
up,ANPEP,0.7458682381426753,0.0,0.0,,0.0,0.0,0.0
up,CARD16,0.7123406103079095,0.0,0.0,,0.0,0.0,0.0
up,PSG5,0.7031598555460485,0.0,0.0,,0.0,0.0,0.0
up,CXCL8,0.6999536668083053,0.0019603582527194193,0.15511728503580505,0.3246209846892825,0.0869624845796575,9.020949660510865e-56,0.1650305281772454
up,MMP1,0.6929604827565459,0.0,0.031222680914126392,0.060000711426033124,0.03006709665531515,0.0002502033997995123,0.05284795042897991
up,LRRC15,0.6879907344759245,0.0,0.0,,0.0,0.0,0.0
up,DPT,0.676936737095281,0.0,0.0,,0.0,0.0,0.0
up,SERPINB2,0.6693627929854306,0.0,0.059389705458103986,0.26797629308257714,0.02945848075094526,1.8921745268847717e-66,0.049735541351908746
up,PSG4,0.6569401983961082,0.00014851198884238025,0.1528522261545932,0.5677574302011409,0.08696546020046325,1.8437980353403653e-58,0.1410122560672281
up,MYL7,0.6330131286334625,0.0,0.0,,0.0,0.0,0.0
up,MYL2,0.626575349457782,0.0,0.05631822969237693,0.0965800335043691,0.05903080293440155,0.012582376255701602,0.09806959008579594
up,IGFBP6,0.625563115031889,0.0,0.0,,0.0,0.0,0.0
up,THBS1,0.6249987351201762,0.011264816233006044,0.09013559104627343,0.11717327896398645,0.08952139600510112,0.024985358250249282,0.07745471877979025
up,TBX5,0.6208274519019047,2.970239776847605e-05,0.1391225947899392,0.7838787151005704,0.08725149150651346,3.030601894105496e-59,0.17723711846492318
up,TGFBI,0.6205788896894698,0.0,0.0,,0.0,0.0,0.0
up,ADIRF,0.6068428568140987,0.0,0.0,,0.0,0.0,0.0
up,SERPINB7,0.5966224337121835,0.0,0.0,,0.0,0.0,0.0
up,FOXF1,0.5966046627109092,0.0,0.0,,0.0,0.0,0.0
up,CXCL1,0.5907658558542416,8.910719330542814e-05,0.08601779779610663,0.21956202675205982,0.05893465242848395,1.4916129780790222e-55,0.12444925075661156
up,SRGN,0.5906930499506237,0.0,0.0,,0.0,0.0,0.0
up,WNT2,0.585835781822295,0.0,0.0,,0.0,0.0,0.0
up,CEMIP,0.5805591065482479,0.0,0.0,,0.0,0.0,0.0
up,XG,0.5797065551223547,0.0,0.0,,0.0,0.0,0.0
up,MYH6,0.5770063712501272,0.00029530698923321456,0.0942478928795836,0.12158369743838109,0.12524548547055359,0.11068632772394163,0.20352716873212573
up,IL24,0.5668619037852338,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.08491797719714791
up,PRKCDBP,0.5655806226263924,0.0,0.031763993612315564,0.09620212210704714,0.029816312111862864,0.0009853215748913944,0.040991420400381395
up,AC004231.7,0.5648837282715828,,,,,,
up,S100A4,0.5600012435167471,0.0,0.034361471366391866,0.08991536508703314,0.030370794038456772,0.002443859010342611,0.05743565300285988
up,KRTAP2-3,0.558472354645879,0.0,0.0,,0.0,0.0,0.0
up,FAM180A,0.5566905088553054,0.0,0.0,,0.0,0.0,0.0
up,ITGBL1,0.5554104565613414,0.0,0.0,,0.0,0.0,0.0
up,C10ORF54,0.5541953286262953,0.0,0.0,,0.0,0.0,0.0
up,LTBP2,0.553285787270605,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548
up,DCN,0.552439993567949,0.1874588291993741,0.22350817314572494,0.18066581771580492,0.2187738157525141,0.13075018659298474,0.16891086749285025
up,AREG,0.5523844049145098,0.003459553015086636,0.07757806646562099,0.09313179405224377,0.05838078502486166,0.0011787658274686847,0.06255958055290753
up,ENG,0.5507967108032132,0.028351427803082998,0.10528232483679387,0.1553779797139006,0.1261920960094738,0.09868415354761621,0.10486177311725457
up,TWIST2,0.5500330431801475,0.0,0.0,,0.0,0.0,0.0
up,KRT34,0.5497933445699182,0.0,0.0,,0.0,0.0,0.0
up,KRT7,0.5487368040349567,0.0,0.0,,0.0,0.0,0.0
up,SIAE,0.5477376493347589,0.0,0.11258064457541156,1.0,0.05777260500145731,2.5870931986343668e-73,0.13001421162550708
up,ACKR4,0.5476354189670388,0.0,0.0,,0.0,0.0,0.0
up,IL1B,0.5449999335911814,0.032671152425435224,0.12399922415463976,0.0992155928424766,0.08757837394981216,0.00227810364510591,0.10539799809342232
