,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
NEUROD6,-11.440811812320499,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
HBE1,-10.3321235597298,5.007508759384697e-07,0.0013407560394801004,0.6666666666666666,0.022957017721735314,3.162314783954678e-62,0.0004876355013550154
HBZ,-10.2722204734133,5.007508759384698e-07,0.0013670704247553676,0.6000000000000001,0.022948059087820466,2.5924463382973227e-62,0.0004220867208672099
ELAVL4,-9.50066559699473,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
HBG1,-9.48602229422058,5.007508759384697e-07,0.0013407560394801002,0.6666666666666666,0.022957017721735314,3.162314783954678e-62,0.0003668699186991883
RP11-864N7.2,-9.345937306482211,,,,,,
SLC17A6,-9.06448066505182,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
DCX,-8.792358936837442,0.00010465693307114018,0.0020147473000847417,0.1266427718040621,0.023200924873611847,0.16436603105591613,0.000829783663633318
HMP19,-8.58303558803946,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
RP11-234N17.1,-8.47570204072537,,,,,,
HBG2,-8.44563188000417,5.007508759384697e-07,0.0013407560394801002,0.6666666666666666,0.022957017721735314,3.162314783954678e-62,0.00046087398373983904
CARTPT,-8.42268557243964,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
HES5,-8.41861500394195,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
NEUROG1,-8.21467957379363,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
SCGN,-8.19612757424013,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
SOX1,-8.15670050619271,0.0,0.0008577980952146962,0.15730337078651685,0.02248873479079752,1.5643798294233922e-78,0.00015066365433492694
ASCL1,-8.14603623737372,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
C21ORF62,-8.012119785526401,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
GRIA2,-7.959093356063219,0.0008042059067571826,0.002933728189697747,0.11007268951194185,0.023652884593222283,0.0010660997565202757,0.0010991174884734764
PRPH,-7.89549394099378,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
FAM181A,-7.81566953213479,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
RP11-621K7.1,-7.699705125041809,,,,,,
POU3F4,-7.6744995211908,0.0,0.0007793961312598957,0.178343949044586,0.022491052973624658,6.719495074079202e-78,0.0003029652640496892
SYT4,-7.6314174998578705,0.0,0.0007043463245985397,0.10939112487100103,0.02249801259038165,4.638279798863705e-07,0.0001442334143953006
TH,-7.613453540857201,0.0,0.0007204381102049231,0.11923509561304838,0.022491284835658116,0.01872098448569561,0.00013363667374584023
PHOX2B,-7.47778142983847,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
RTN1,-7.45281803473423,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
KLHDC8A,-7.44947223826446,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
KLHL1,-7.41768918160272,0.0,0.0011678751456448834,0.6666666666666666,0.022486439331092473,9.71312875398076e-202,0.0005141612200435731
NCAN,-7.3823953423517406,0.0,0.00022742779168072655,,0.02225934855765155,0.0,0.0
