,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
AADAC,10.000070000360301,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
KRTAP1-5,9.68290686248428,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
MMP3,9.30412461604223,0.0011287342036049727,0.0015210478955893663,0.14966555183946487,0.023257604670504344,0.0007383553677060995,0.0008468495138795926
IL6,9.01178518685756,1.3718675926764104e-05,0.0010579969908508507,0.15715539947322213,0.022790206681356805,0.004363801474543924,0.0005489468895876607
HINT3,8.93883932453395,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
ANPEP,8.914605397787101,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
CARD16,8.58132274204482,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
PSG5,8.49006110123232,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
CXCL8,8.45818986051728,3.3049557811939e-05,0.0014195312466120833,0.375,0.02278080203573127,4.665453527262046e-56,0.0006724957232465151
MMP1,8.3886738492936,0.0,0.0004144576289802263,0.13011873031257573,0.022336592827672398,0.00012940016052162345,0.00021535421984266015
LRRC15,8.33927187807455,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
DPT,8.22938919798321,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
SERPINB2,8.15410011938168,0.0,0.0006429577598538621,0.3225806451612903,0.022331841075399407,9.785945663009078e-67,0.0002026712222394774
PSG4,8.030612846845031,2.503754379692349e-06,0.0014011563469138455,0.6000000000000001,0.02278082526781053,9.535752189365826e-59,0.0005746217998448401
MYL7,7.7927649026383605,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
MYL2,7.728769914644361,0.0,0.0006180409421989462,0.16396946564885498,0.022562726183961164,0.00650735165283883,0.0003996313933044181
IGFBP6,7.71870775995337,0.0,0.00016116901257118293,,0.022101844780754297,0.0,0.0
THBS1,7.71309752004167,0.000189912835991661,0.0008923784563762665,0.18302658486707568,0.02280078066773042,0.012921924205918917,0.00031562625230604113
