"logFC"	"logCPM"	"PValue"
"A1BG"	-1.27744196362159	5.32965680348786	0.0832992471334365
"A1CF"	-5.66217867153403	4.01953772547855	2.09069250316192e-10
"A2M"	2.74973506873445	3.13184368706028	0.000393721711062834
"A2ML1"	0.418141536237896	0.908867105026408	0.573202431347067
"A2MP1"	-1.87265091982498	-2.66594584611819	0.0663235199200076
"A3GALT2"	0.362078072855718	-3.82009502762227	0.873165640540531
"A4GALT"	1.82983751015655	2.46038203451872	0.0145841481855671
"A4GNT"	0.78345363041181	-1.9729954592333	0.280745910043733
"AAAS"	-0.0200234277013664	4.93309423665081	0.978213342031652
"AACS"	-0.303843530992922	6.06209896353044	0.675768606264441
"AACSP1"	-2.3371817462289	-1.61116790595827	0.00537043463957007
"AADAC"	-1.35938289138771	-2.23514923587943	0.0576371664281953
"AADACL2"	1.64993480954983	-4.42182425681318	0.528900138183487
"AADACL3"	1.04661090400788	-3.07871517365528	0.176792219723556
"AADACL4"	0	-4.48279114601977	1
"AADACP1"	-0.12264258773339	-3.2782168612225	0.864083634021007
"AADAT"	1.30305203067812	2.16504013131721	0.0769168351263092
"AAED1"	-0.550062763299031	5.03327356185862	0.450386726095058
"AAGAB"	0.00803982543797551	5.17510217123685	0.99145290637761
"AAK1"	0.907858447870983	6.66429449695508	0.214642287798041
"AAMDC"	-1.29356879224504	4.4629806024126	0.0796708466993253
"AAMP"	-0.259167233237687	6.32365178232499	0.721015464527754
"AANAT"	-0.346173299567997	-1.6079994642572	0.713234636359924
"AAR2"	0.24362228273061	4.91759544457125	0.737684465490937
"AARD"	-0.229176920037122	2.06614361530796	0.756888761396079
"AARS"	0.499763332850913	6.42341950043392	0.492144751626255
"AARS2"	2.16297076151833	3.58922185624514	0.00424703602991775
"AARSD1"	-1.05922520464831	5.03588122631232	0.148911247479931
"AARSP1"	0	-4.48279114601977	1
"AASDH"	-1.28170210739803	3.93233691168185	0.0824706461554097
"AASDHPPT"	0.0425950367698514	5.28720495248038	0.953587128812897
"AASS"	0.939415780433478	3.3748480395841	0.201910341044093
"AATF"	0.513745063181805	5.45339999922659	0.48030407796337
"AATK"	-4.38375209497346	2.10427764260779	1.76512643498455e-07
"AATK-AS1"	3.27036234364808	-4.11369789217399	0.0171704881833132
"AB019438.66"	0	-4.48279114601977	1
"AB019441.29"	2.73684836899808	-1.7709644926331	0.000717170549344109
"ABAT"	-2.48703043294943	4.42902067964624	0.00118819931701697
"ABBA01000934.1"	2.3059296162618	-4.35995926962728	0.293350207275237
"ABC12-47043100G14.2"	0	-4.48279114601977	1
"ABC12-47964100C23.1"	-1.8810164007546	-4.35953662605166	0.293350207275237
"ABC13-47488600E17.1"	5.27710901992328	0.999543576465768	1.85684510830685e-09
"ABC13-47656900H15.1"	2.45982024515237	-3.02283300853811	0.0127686514933646
"ABC13-48559800H2.1"	1.29292479265763	-0.26485867518994	0.0826151458827339
"ABC13-48559800H2.2"	0	-4.48279114601977	1
"ABC14-864958H18.2"	-1.07604594530051	0.0576573907983032	0.150709973723811
"ABC7-42391500H16.4"	1.27313174738149	-4.1782362955273	0.199940245962824
"ABC7-42404400C24.1"	3.76398230584082	1.29380072053839	7.79020420364919e-06
"ABC7-42418200C9.1"	0.510747248930584	-1.36121795692291	0.518278216562717
"ABC7-481722F1.1"	0	-4.48279114601977	1
"ABC8-43014700C16.1"	0	-4.48279114601977	1
"ABC9-43961700F1.1"	1.00441503585286	-4.42153612936349	1
"ABCA1"	1.94388954368234	5.67603079758483	0.00966099364415539
"ABCA10"	-2.09951088647668	2.63354893265934	0.00564988658239191
"ABCA11P"	-1.13843064794926	2.1742576608495	0.12335567795193
"ABCA12"	7.1890258765104	-1.23254826896641	9.20961684405866e-11
"ABCA13"	3.06923314345235	1.70158823140426	9.37397908730855e-05
"ABCA17P"	-3.19577149426967	1.51080246924181	6.53015350757931e-05
