,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
INS,-26.5728800344022,0.005602772479516925,0.002139567899820654,0.2620263370061811,0.025231471987132104,0.019657855476607155,0.0032087661191595764
TTR,-20.4561622769948,0.0010272380276959176,0.0009479393099144965,0.24627431169487246,0.02338626299845967,0.004003901329241981,0.0010280512808957863
SCGN,-19.084484218251102,0.000992306306052671,0.0008940319171580125,0.24097874443895204,0.02292681412525647,0.022874823797430617,0.0002849589557563187
CFC1,-18.3898537316725,1.4521831892912043e-05,0.0005363935980774967,0.21934758155230596,0.02266980633257689,0.0027864108541915656,0.00024555948598936785
PPY,-18.2598911419432,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
PPP1R1A,-17.7979610710964,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
SST,-17.5120905930181,0.0006895318486213984,0.00044094856205441737,0.21325459317585302,0.022392530058992513,0.013139449223841953,0.0005208976409886402
RBP4,-17.3655647352994,4.2787924789059474e-05,0.00047310705625605576,0.2185118780815778,0.022393586483150003,0.0014263734853471152,0.0008663302015035348
REG1A,-17.2771955077468,0.00048773135316406953,0.0008501329008194199,0.14006608245941674,0.022098797820413938,5.554935093155638e-07,0.0004906608386093562
FXYD2,-17.1551263391775,0.0,0.00029879610843112437,0.17704739422553115,0.021889261200976323,0.00013799043799831478,0.000362841628551454
EDN3,-16.813286368156298,0.0005038973913574582,0.0010829855559152085,0.22898074213245656,0.024381722146026012,0.05958542976968794,0.000892901936927757
ECEL1,-16.667830809265098,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
GCG,-16.5541400293302,0.00037024651677918966,0.0008391255747340215,0.22658610271903323,0.023482892775887807,0.03949105157256018,0.0012090139618021298
PNLIP,-16.0896322871945,0.0005189494266930335,0.0010579575447853555,0.19457194172819797,0.02380098866944707,0.0005123663103126251,0.0005071536399071462
ABCC8,-16.0488635767362,0.002458675867244538,0.0016169874040995436,0.2532467532467532,0.024566180234154574,0.01941151339381093,0.0005740411118370858
KCNK16,-15.8897341335235,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
C2CD4B,-15.7095025661988,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
CHGA,-15.610580706003699,0.00049207729554882,0.0009482210860640005,0.2195451474893042,0.0236505928947827,0.028009879536306907,0.0014985542512522807
SEZ6L,-15.394814653029199,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
LCN2,-15.2889996188308,0.0,0.0002583068772193379,0.195,0.02190129362297721,0.0006241213764018972,0.00017363254699621347
FOXA2,-15.119844180090801,0.006524130720904922,0.002852899677600088,0.27211833658945017,0.028255221849243742,0.0253681314414035,0.0015260422534152697
UBD,-15.1151813893362,0.0013287690008672267,0.001208173665404793,0.2065677966101695,0.023007369297944398,0.0009784220651622173,0.0010303419477427022
SCGB2A1,-14.9987541045856,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
SYT4,-14.9087986539958,0.002429906156656025,0.0018880983463035526,0.2676365632720285,0.0264602085389894,0.09284138639200876,0.0018105430758022054
REG3A,-14.800943336011,0.0009744612045762621,0.0007359520496233296,0.1627984638503924,0.022101062416192856,8.461256068483753e-06,0.0001992880156816712
UCN3,-14.791584837357199,4.0704805486220055e-06,0.0003159242977508415,0.21062864549578744,0.022155315158212584,0.008918001200617406,0.0002469338860975171
PCSK1N,-14.648880024937,0.0,0.00025764580877580146,0.19113899235444032,0.021894870854168417,0.0002631106468935634,0.00017363254699621336
PCP4,-14.4470639679356,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
PRSS2,-14.4468950129311,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
CELA3A,-14.2273537453024,6.928070484948988e-05,0.0008206926267143434,0.18012192869019028,0.023334778180427514,0.0003269739541282441,0.0008626651345484699
NKX2-2,-14.1910130449981,0.002809268318652524,0.002935261676386005,0.2468354430379747,0.0275983436045686,0.015597965259705207,0.0009364246070191566
HEPACAM2,-13.8680853961731,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
TFF3,-13.747929792411098,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
GC,-13.7359398868101,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
REG1B,-13.6250231495468,0.0,0.00048576230801628147,0.12287334593572778,0.02187997542025366,3.631309578567963e-08,0.00031702829161314147
CKMT1A,-13.567316651149198,0.0,0.0006314654422949664,0.15720735246694614,0.022105635316377308,7.740089971373988e-06,0.0006913232543991695
GCGR,-13.552681435388301,0.0001940462475828011,0.0009580168030532232,0.2247061534915879,0.024022575093115235,0.0544112686318927,0.000953833675055716
INSM1,-13.465787033125999,7.980291025894255e-05,0.00035380132668990326,0.21433282040008794,0.022127623973486374,0.0024766348028759694,0.00012140534288653451
INS-IGF2,-13.412813543292101,0.0,0.00024569768057437676,0.20766773162939295,0.021911302161861393,0.0012850511653994103,0.00036650669550651935
LRFN2,-13.261521630378999,0.004703064941902305,0.001141250077018418,0.2545691906005222,0.02368814907777168,0.0304857457509016,0.0005653365778188061
RFX6,-13.2604739852559,1.0715217046988104e-05,0.0004097655289814324,0.21777976323430867,0.02245024618737556,0.003624682488186203,8.338027322773313e-05
SLPI,-13.259395320038,0.0,0.00023032093107117424,0.19314580031695722,0.021911618189909037,0.00014704042744746008,0.00017363254699621347
CRYBA2,-13.2504916282923,0.0,0.0008297033810412773,1.0,0.021877765092979323,7.844541783579056e-156,0.0005
SERPINA5,-13.1748294775056,0.001474575391720408,0.0014551016860062038,0.2145214521452145,0.024330902897641896,0.0019189252690677194,0.0016419499958692067
LMO1,-13.125667416853599,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
USH1C,-13.0807544644665,0.0029076211532461354,0.0016542888122995545,0.2404438964241677,0.023747035722116207,0.01105685717112085,0.0006872000540747232
MYO3A,-13.0702479312659,0.00021354941637313456,0.0006267781177766648,0.19837232960325535,0.022347895181592036,0.0008117040212822208,0.0002382293520792375
SERPINA6,-13.0182849886179,0.0009485544086207139,0.0005519770257289567,0.2457157258064516,0.02265760786146828,0.011602565724205439,0.00016492801297793367
PLVAP,-12.9766706945036,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
MNX1,-12.892414277764999,0.000358722840395292,0.0011686569464588652,0.23358888356492574,0.024214541046928106,0.008205550262963613,0.0003857482970206115
WFDC2,-12.874968642830401,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
NPTX2,-12.8182136128524,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
PNLIPRP2,-12.812646735982002,,,,,,
HHATL,-12.742097556345401,0.0,0.00046486196319444045,0.12338648443432043,0.021882296594094817,3.962773642236482e-08,2.9320535640521453e-05
DUSP26,-12.7211932001652,0.00018645522842312666,0.0005665206112894311,0.2408596837944664,0.022686058657885935,0.013698690369380468,0.0003930784309307419
CPLX2,-12.706418189711302,0.0,0.000589923835009479,0.2300070771408351,0.023047276203807834,0.02824593493288609,0.0005795387122696838
CTRB1,-12.676136815708102,0.0009364381552356013,0.001416394832263043,0.21227955584585237,0.02480447347732378,0.0014742145086313067,0.001419297178348996
ASCL2,-12.606446720079598,0.0014741211543695275,0.0007102813755562855,0.2191503708698584,0.022610930777345776,0.0016736997199710783,0.0001433957446169255
SERPINA1,-12.542843957013499,0.00362906501935232,0.0016656929206233628,0.23636363636363636,0.025060573918311766,0.003870550773373126,0.0013033894358950593
ST14,-12.4884383575843,9.0011750388784e-06,0.00037137011032942245,0.1953125,0.022127834901566237,0.00015440516839523722,0.00046454723655451317
CASR,-12.4391546336885,0.000733300300221688,0.0022618463417842204,0.24840764331210188,0.02788514286080319,0.15806707617375274,0.0006528400513709872
RNF186,-12.423767003733401,0.0,0.0004291539588171103,0.14216972878390202,0.021879999218648253,1.4648262472845778e-06,3.8941336397567685e-05
DEFB1,-12.383789331995098,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
KRT222,-12.377874402528601,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
SLC17A6,-12.3426288784914,0.002875169949139296,0.0011816475323248438,0.2765957446808511,0.024291975967014996,0.04157492682765812,0.0005286859082681541
CA2,-12.3278171529744,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
FEV,-12.298606366557,3.0951420070803502e-06,0.0004246582208105263,0.21885521885521886,0.022491626800420376,0.0033822511885550064,0.00026342668739531063
PDX1,-12.249062593922,0.0009900070738836223,0.0015793199845668625,0.2472736495054527,0.02523222297865457,0.012079712498459398,0.0012452064979833989
SNX10,-12.2047442476897,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
FGG,-12.169626651991,0.002404475776364223,0.0020956621760347665,0.24583963691376703,0.026004514650173238,0.004726116942519538,0.002049230561250826
TMEM63C,-12.161082231617101,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
KIF1A,-12.138317458348,0.00555885255404813,0.002149315560601725,0.2634423128884085,0.025847911494903134,0.0514836921426855,0.0010876086189155962
DUOXA2,-12.122428535637699,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
ELAVL4,-12.1040563457807,0.0018793130696456329,0.0014181513281276658,0.19677093844601412,0.023003305026291967,0.001988746081297723,0.0005296021750069202
LY6H,-12.077402156536902,0.0,0.0002153044959882611,0.212882096069869,0.02192452727827896,0.007599339527533531,0.00012232160962530084
TMEM61,-12.063011913727,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
RXRG,-12.0512783397925,0.0,0.0006391079321255641,0.6666666666666666,0.021879953307131446,2.8941250931440782e-136,0.000547008547008547
ADCYAP1,-12.036865223373,0.000660157238596362,0.0009351257026595214,0.22780373831775702,0.023589821722013314,0.02525505388717984,0.0012456646313527815
TMEM196,-12.021596329551,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
MS4A8,-12.005026281054802,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
CBLC,-11.9675970834768,0.0006678728134907239,0.0006805433483698961,0.22791023842917252,0.022604451383111894,0.0036073221083285476,0.0005584645772780587
FGA,-11.9604802224235,0.002679410332030428,0.0021701846154308746,0.24840764331210188,0.0262806526903655,0.0055386743386316994,0.0020964182982972906
ACTL6B,-11.952053605982,0.004398083455901866,0.0017594480547716322,0.27341559169938306,0.02518087490831234,0.04559487411761575,0.0007989845962042118
CRTAC1,-11.945219613099502,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
KCNB2,-11.8943672421318,0.0,0.00023061527723134323,0.20709430756159727,0.021914018463224386,0.003296154708329573,0.00012003094277838508
CPA2,-11.813684192756801,0.0003360039382415011,0.0010270121292250067,0.19457194172819797,0.02380586807404025,0.0005176685928357659,0.0009368827403885402
TMEM37,-11.795055539319101,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
CPA1,-11.788626360991302,0.0009873447255592577,0.0012770001745395197,0.20203066721922916,0.024283734115061215,0.0006591100598127377,0.001268113166452557
GRIA2,-11.728340704010598,0.013783354200390344,0.004778248425964757,0.3031716417910448,0.033161752748463245,0.2293048268116331,0.002440476458704035
BPIFA1,-11.7064720312278,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
PCDH20,-11.6992027256375,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
DDC,-11.694884833220101,7.531851491884751e-05,0.0007564503938795992,0.22234891676168755,0.02309994379854798,0.018538503902383586,0.0005447205761965644
FGB,-11.674862472643001,0.0014593170264700325,0.001743146988766002,0.2325304078225614,0.02528870471829876,0.003963343414513222,0.0019379041524907208
SERPINA4,-11.616323169181099,0.0004956917504536139,0.0005455535792334836,0.23545037430572324,0.022659220214048256,0.008686595329477203,0.0003051168240091773
FXYD6-FXYD2,-11.590239225643401,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
SLC35D3,-11.5680240146057,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
EPCAM,-11.5514402061337,0.0,0.00041405266359480664,0.15592515592515593,0.021882390922958954,5.133266942723605e-06,0.00017363254699621393
FOXJ1,-11.5060601223104,0.004065476489458009,0.0013702102581854105,0.22984441301272984,0.023553147089835698,0.0022056759333377645,0.00026388482076469377
SYCN,-11.5012176194403,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
SELE,-11.481716028175398,0.00015175640482574767,0.0005172362562673805,0.23653566229985443,0.022454673993256128,0.001941560340782271,0.00013789814418432782
KCNA5,-11.473201307808,0.00023262740063857926,0.0006003587358245553,0.22413793103448276,0.02263056707042076,0.006312808481396915,0.0005630459109718902
SYNGR4,-11.4528893953645,0.0,0.00021425935454278772,0.2199909747292419,0.021950397000224126,0.009990485094062543,8.292213985834995e-05
CHST8,-11.406694926689001,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
FAM159B,-11.366612096050902,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
CA8,-11.3610177030191,0.00016934293351205233,0.0003584807271625563,0.22764417464394118,0.02216686363752781,0.001813577693714257,0.00015530721222088757
