,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
DKK1,16.740411084889697,0.0001063135093261633,0.0007820587130674023,0.30912917653249145,0.023338590433342753,0.0022312630633603016,0.0002652148398718434
TERT,14.7420097198983,0.00081274573930599,0.0006951567802221366,0.31808337845154305,0.022925436619489255,0.006283798278704663,0.0004912409756301893
NTSR1,13.5623060717834,6.8919240427465695e-06,0.0005258242164585703,0.25649421523684784,0.021467552538487533,0.00015398111105954207,0.00016082003472302474
FOXD1,13.493473042623501,1.5940617576199977e-05,0.00039818037358903247,0.2383367139959432,0.020513436628448692,0.00011230428622419335,6.11408827662864e-05
HOXA9,13.2631953706774,0.00032182282262745377,0.0007437400523260938,0.2889818002951303,0.0234520926702781,0.004675778386814625,0.00046441053505455823
PDCD1LG2,13.072011241665,0.0,0.0003245520900131989,0.1751378744969444,0.019851010620172135,1.240271655751387e-07,2.5529570729539826e-05
HOXA11,13.0036176219347,0.0002365222598600891,0.0006630945185512483,0.2899087095978288,0.02294152337444266,0.0033449141566225145,0.00041871748171060476
TBX5,12.7591503823581,0.0025409041107762593,0.00165268076234344,0.3255749515101136,0.026969163010976006,0.004597153421601683,0.0005356331591280514
BIVM-ERCC5,12.741812128659198,0.0,0.00024875216170639077,0.24402907580477673,0.020886726825401578,0.005082555244064328,0.0001492748148389651
LCE2A,12.1801119238757,0.0,0.0005888991181308986,0.15517696777601692,0.02073287509036868,5.253378622773813e-08,0.0003873339966736583
AC007192.4,11.994077450571401,,,,,,
JPH2,11.973967550439598,2.7654631179447863e-05,0.00035241084589692265,0.24499582985821516,0.020326114045400544,4.5532091004784726e-05,0.00013577829018576908
FAM196B,11.9028027718446,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
KRTAP1-5,11.8677318726474,0.0,0.00021306334826942978,0.1550950369588173,0.019870139537699016,1.0541064169975195e-08,4.4229574767101196e-05
TBX15,11.732478480306899,0.001266609441616737,0.0012756753408690795,0.2887687392479725,0.024960120808439186,0.0036129037080334992,0.00046034531678552324
HOXA13,11.5507541776951,3.72288877976464e-05,0.0005015335304596373,0.26577697353539925,0.02162402189618189,0.00036054520985888834,0.0002325304849888019
CTD-2545G14.7,11.4366063843689,,,,,,
AC027682.1,11.391301103575199,,,,,,
GJA5,11.354482930842801,3.920154942809249e-06,0.00030742957731884086,0.26404494382022475,0.02036575051732672,0.000141924566944451,8.30930614190754e-05
ADRA1D,11.3445384587335,0.0004074502481810147,0.0007839372463142342,0.26986678915939366,0.02215614838792745,0.00019326051480726743,0.0002831018002555976
RP11-231C18.3,11.2847698860412,,,,,,
HOXA10,11.234680457507501,0.00022544542699018543,0.00062799361298085,0.28340569223347806,0.022568975841891412,0.0031488619361628115,0.00045709314217029517
SDPR,11.1150193966975,0.0,0.0003936972483195737,0.2643419572553431,0.020618233929985602,0.00024701074654671104,0.00014309568307003205
ADAMTS19,11.088211945717699,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
LRRC15,11.081486109163999,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
AC096949.1,11.0474211855389,,,,,,
AK3P5,10.997026756082999,,,,,,
AC004231.7,10.868966182017699,,,,,,
XXBAC-BPG246D15.9,10.840584505616699,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
GLIS1,10.755127500778999,1.318376499545584e-05,0.00025405394265193184,0.28820210939416235,0.02029963472295508,0.0013062708330729559,4.553044461319198e-05
FBLN2,10.734931551990801,0.00039758479176074446,0.001402434791110106,0.3106000528680941,0.026130669954022096,0.001802628643026609,0.0008362967023058802
TRBV12-4,10.725144579867901,,,,,,
COL11A1,10.695942288697,0.0009720079179696052,0.0009718701289734368,0.29360319840079957,0.02387531463185995,0.001976939339886838,0.0003179000686385369
TRIM55,10.682221060394198,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
HSPB7,10.664843188608,2.1668138334876133e-05,0.0003109294782356732,0.2760159736903923,0.020482104762763593,0.0003914567526802095,9.886610830293117e-05
CLCA2,10.629941107148401,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
FLNC,10.584699762978,0.003647211372485624,0.0022433532605385764,0.31010820797044075,0.026691833414879504,0.0016824340548499427,0.0011728967749819782
MYOZ2,10.5626623482912,0.0,0.00017561068986486224,0.23675196453757807,0.01991737678688342,3.6765504787164635e-05,6.0653056574002194e-05
NLRP10,10.5621971156884,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
ANXA2R,10.5151711247954,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
PSG3,10.424027116552802,0.00029268888698603555,0.0005150124882741606,0.2346714599560615,0.02032480722839295,2.9751604538949435e-05,0.00037172355852056044
ULBP3,10.4046262220212,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
CXCL10,10.3784278335108,4.723485680680101e-06,0.00040340979961042754,0.24525151325401795,0.020544080983177924,9.321791356453294e-05,0.0001669991664919578
IRX5,10.3322418323732,0.0001861461948639766,0.0008793515624912628,0.28042959427207637,0.023551539105828582,0.001354097843696428,0.0006325479626618459
AC023908.1,10.3256035297088,,,,,,
ADAMTS15,10.3254838012583,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
IKBKGP1,10.325256493904,,,,,,
MAB21L1,10.3022182424759,0.0,0.00016212652094686668,0.21034729681346223,0.019936589288213152,2.9835396839918638e-05,0.00013691655130109871
CTAG2,10.290652709784,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
KRT34,10.253975867774098,0.0003910864341079519,0.0005823678980704353,0.2041702867072111,0.020263622751499358,3.435450176696908e-05,9.805306464912433e-05
KPRP,10.244497849410198,0.0023455171028957922,0.0005027213624609208,0.13457794067117168,0.02005588350725937,4.6103150124592536e-10,3.2684354883041743e-05
PCDHGC4,10.2366367040012,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
MTCYBP3,10.227131845902901,,,,,,
HOXC10,10.217638305591699,4.591991721800851e-05,0.0006242480883353919,0.26309896999552174,0.022472886892069714,0.0006077824910770709,0.0003218026781768105
VIT,10.201638596705001,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
LHX9,10.190206948298401,0.0030634617895908714,0.0008298126586994686,0.27705729780712096,0.022195298219913603,0.0008928050797744052,0.00020277308725946583
MAPK6PS3,10.187466036099499,,,,,,
FOLR3,10.149090834728401,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
IQCJ-SCHIP1,10.118522718883598,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
KRT18P57,10.100674229350199,,,,,,
GPR17,10.0707953891226,0.0,0.000746993351759169,1.0,0.019848947932068987,6.266939989193769e-65,0.0005
RP11-56B16.1,10.0595253740377,,,,,,
CLEC14A,9.996179048968552,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
RP11-170N16.2,9.977830790340331,,,,,,
CTC-281F24.5,9.95690374963351,,,,,,
DRP2,9.92610117640075,0.0,0.00022097966517169927,0.20434782608695654,0.019858431491335427,1.6753000248247955e-06,4.325392238253242e-05
KIFC1,9.912809293693199,0.00013381981340565845,0.001687749388056036,0.3185145025752236,0.03911087370516649,0.10813133046099786,0.0011367976367529474
PCDH18,9.8956721102629,0.0,0.00018510174221660267,0.2185233401525014,0.019863836119044152,1.9759648401219586e-05,1.3496524653196197e-05
MTND4P15,9.88654979780495,,,,,,
HIST1H3H,9.87830010220749,0.0001253033682390782,0.0013706841116358016,0.30646844027125714,0.03645188124444161,0.08142838861465987,0.004457430527631485
RP11-665C16.9,9.867095338573401,,,,,,
PTX3,9.8565559680093,3.3376054562211506e-05,0.00028219674570366496,0.2658371040723982,0.020160429831862458,0.0002022135883390468,0.00011252524168688888
RP11-1166P10.1,9.84371750776142,,,,,,
TYRO3P,9.832795508945471,,,,,,
AC127070.1,9.80651641961092,,,,,,
FAM204CP,9.805924147739,,,,,,
TBC1D3K,9.781193514912571,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
SRGAP2D,9.777873687861721,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
SLC2A3P1,9.771283787212981,,,,,,
ADRA1B,9.76884242257934,0.0004173039398376138,0.0008090647493739723,0.272305909617613,0.0224100829085073,0.00022172041604692636,0.00030570441383143213
CHSY3,9.741045396912499,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
CDA,9.69268115005596,2.418562237951796e-05,0.00048792351674539335,0.20752384316495937,0.020261124278183155,3.2148795624578693e-06,0.00020196004360565893
RP11-575G13.2,9.686537337910618,,,,,,
CDCA7,9.68443104481694,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
ATP6V1G2-DDX39B,9.68296513263256,,,,,,
IQGAP3,9.66736024447711,0.00018156170763934432,0.0007088474695024928,0.31299946723494937,0.025106096047088765,0.02485599100165308,0.00041123748009558054
RP11-512M8.5,9.62671400074414,,,,,,
RP11-686D22.7,9.62361017643893,,,,,,
SRP9P1,9.617050096866269,,,,,,
RP11-424C20.2,9.605030776733571,,,,,,
DASS-161H22.6,9.59797144799678,,,,,,
RP11-438J1.1,9.59315464630915,,,,,,
HIST1H2BH,9.586813055324619,0.000236377436941648,0.0013797913403717189,0.3132498000533191,0.03630650418803311,0.08048893268375802,0.0022670909242754334
CDC42EP3P1,9.57547296850078,,,,,,
RPL36A-HNRNPH2,9.56923879414009,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
RP11-686D22.3,9.562517055658939,,,,,,
HOXD9,9.550211581647789,0.0004916925977269698,0.0009028284036567211,0.2829961464354528,0.024030933800391643,0.003242366649883603,0.001179401124212434
HNRNPA1P49,9.51528127264394,,,,,,
LCE1F,9.42199226576683,3.672173090215445e-07,0.0007883178120080312,0.18327873966619873,0.021155801712930033,2.716962305675028e-07,0.0002806626692941789
NRBF2P5,9.41967920957283,,,,,,
FDPSP7,9.41551868253023,,,,,,
SOD2P1,9.39855473783555,,,,,,
HOXC13,9.39693646745411,5.255528725885512e-05,0.0005821268528193126,0.25323275862068967,0.022138597006907727,0.0003443985299927836,0.00034570616159873633
HOXB8,9.37248054118972,1.864261988315519e-06,0.0006469097374813418,0.25526830328046923,0.022604365965013726,0.0005391783938081843,0.0011689941654437045
HOXA1,9.31395983200924,0.00016137083605317077,0.0004012384326151679,0.2825877825877826,0.021446084143140205,0.003941303202755874,0.00013870524733947413
AHNAK,9.31029286387082,0.0004983208314743836,0.0006056401490809035,0.3087230688386758,0.021583462562419116,0.0019020770494100503,0.000252856576333977
RP1-37M3.8,9.309401584814289,,,,,,
CTD-2228K2.2,9.307029028626529,,,,,,
SF3A3P1,9.26111275326387,,,,,,
ACTG2,9.255742265700288,0.0008640754104436109,0.0015518031073511037,0.30767216548834775,0.02518569529084044,0.0027206045168677597,0.001209646348134055
BLID,9.234333948965462,0.0,0.00018503507836766666,0.24072935873796353,0.01986983941747219,0.00017858830569412844,6.162870895857057e-05
NTF3,9.216651530054211,0.0002857445617776723,0.000605073754068019,0.2811004784688995,0.021362407002724373,0.0004071835368574187,0.00039335051971182674
DTL,9.2036939787315,2.124376939476948e-05,0.0002982650074748662,0.2877081292850147,0.02139900434934199,0.007565156895010788,0.0002528565763339768
IFNE,9.174280407524039,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
CTD-2331H12.8,9.15588461166971,,,,,,
PSG7,9.14448046031382,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
ABI3,9.12532429598799,0.0,0.00011204900276387542,,0.019650458452748296,0.0,0.0
RP11-253M7.3,9.121712415238802,,,,,,
MUSK,9.10764281797677,0.0038648786866372895,0.0016318321184672939,0.31200212426978224,0.02452767234090857,0.0011774886609655344,0.0007691392965014223
DPRXP1,9.106605715132119,,,,,,
CSPG4,9.094859990621659,6.99836953534187e-06,0.00022009259435046472,0.29656739020696615,0.020433374935366733,0.0010163508698251516,5.1221750189841023e-05
RP11-290L1.4,9.090001596634439,,,,,,
RNF138P1,9.08461176288748,,,,,,
HOXA7,9.07271492376375,0.0026034176686626992,0.0010225549326607318,0.31877373846988605,0.025086975824178088,0.004631322572726832,0.0018579673576797563
EN1,9.07096132623866,7.403972874263351e-05,0.0005095344446080788,0.2766658817989169,0.021750258378512993,0.001005698106710776,0.00023789657310392817
CACNG7,9.063519064136619,0.0,0.00018470280681918782,0.26116914869971103,0.019971909202411396,0.00016693562393852525,1.1870437345582204e-05
RP11-10L12.2,9.018091240157801,,,,,,
HIST1H3B,9.01699161163955,0.00016154988955800528,0.0014292254466510773,0.3075916230366492,0.037347901319644584,0.08719083998342335,0.004558735766895838
RP11-673E1.3,9.01627125901167,,,,,,
AP004289.1,9.01450587616094,,,,,,
HTATSF1P2,9.013172473670279,,,,,,
