cid,link,name,Synonyms,MOA
459803,https://pubchem.ncbi.nlm.nih.gov/compound/459803,AC1LA18U,,Inhibitor of the HIF prolyl 4-hydroxylase
91899426,https://pubchem.ncbi.nlm.nih.gov/compound/91899426,2-phospho-L-ascorbic acid,2-phospho-L-ascorbic acid;BDBM92477,_
286003,https://pubchem.ncbi.nlm.nih.gov/compound/286003,DTXSID80301486,,Agonist of the Adenosine Receptor
47289,https://pubchem.ncbi.nlm.nih.gov/compound/47289,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,,_
451668,https://pubchem.ncbi.nlm.nih.gov/compound/451668,5-Aza-2'-deoxycytidine,"Decitabine;5-Aza-2'-deoxycytidine;2353-33-5;Dacogen;5-Azadeoxycytidine;2'-Deoxy-5-azacytidine;AzadC;5-aza-CdR;Dezocitidine;5-aza-dC;NSC 127716;5-aza-2-deoxycytidine;UNII-776B62CQ27;5A2dc;4-amino-1-((2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-1,3,5-triazin-2(1H)-one;Dac;4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-s-triazin-2(1H)-one;4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one;MLS001332587;CHEBI:50131;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one;776B62CQ27;SMR000857076;2-Desoxy-5-azacytidine;4-Amino-1-(2-deoxy-beta-D-ribofuranosyl)-1,3,5-triazin-2(1H)-one;NSC-127716;DSSTox_CID_10432;DSSTox_RID_78849;DSSTox_GSID_30432;Decitabine [USAN:INN:BAN];Alpha-Decitibine;C8H12N4O4;5-Aza-2'-deoxycytidine, 98%;5-AZAdC;EINECS 219-089-4;NSC127716;2-deoxyazacytidine;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1,3,5-triazin-2-one;BRN 0617982;Dacogen (TN);CAS-2353-33-5;5-Aza-deoxycytidine;NCGC_5ADOC;Decitabine (USAN/INN);5-Deoxy-2&prime;-azacytidine;5-Aza-2&prime;-Deoxycytidine;CCRIS 8227;4-amino-1-(2-deoxy-beta-d-erythro-pentofuranosyl)-s-triazin-2(1h)-on;NCGC00166088-01;deoxy-5-azacytidine;Decitabine, Free Base;PubChem19115;JNJ 30979754;JNJ-30979754;MolMap_000063;E-7373;SCHEMBL4006;cc-571;MLS001332588;MLS006010136;BIFK0051;cid_451668;EOS114;GTPL6805;CHEMBL1201129;DTXSID7030432;s-Triazin-2(1H)-one, 4-amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-;BDBM96274;CTK1A2018;EX-A961;SYN3036;1,3,5-Triazin-2(1H)-one, 4-amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-;XAUDJQYHKZQPEU-KVQBGUIXSA-N;HMS2235O03;HMS3413L07;HMS3677L07;22432-95-7;ACT00147;BCP02870;HY-A0004;5-Aza-2'-deoxycytidine, >=97%;Tox21_112311;ABP001084;ANW-25144;MFCD00043011;s1200;ZINC16929327;4-Amino-1-(2-deoxy-?-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one;AKOS015895047;Tox21_112311_1;AC-1135;API0002229;BCP9000593;CCG-208143;CS-0372;DB01262;SB18982;Decitabine (NSC127716, 5AZA-CdR);NCGC00166088-02;NCGC00166088-05;AS-17558;CC-26303;SC-19951;BCP0726000271;AB0020011;DB-029060;SW218076-2;V0702;D03665;J10097;W-5049;AB00918337-07;AB00918337_08;353A335;C-13049;SR-01000838879;J-700084;Q1181878;SR-01000838879-4;decitabine (2 inverted exclamation marka-deoxy-5-azacytidine).cd;4-amino-1-(2-deoxy-ss-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one;1,3, 5-Triazin-2(1H)-one, 4-amino-1-(2-deoxy--D-erythro-pentofuranosyl)-;4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydro-1,3,5-triazin-2-one",Inhibitor of DNA methylation
16218924,https://pubchem.ncbi.nlm.nih.gov/compound/16218924,A83-01,"909910-43-6;A 83-01;A-83-01;3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothioamide;A83-01;TGF-beta inhibitor A-83-01;C25H19N5S;3-(6-methylpyridin-2-yl)-N-phenyl-4-quinolin-4-ylpyrazole-1-carbothioamide;1H-Pyrazole-1-carbothioamide,3-(6-methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)-;J-504722;ALK5 Inhibitor IV;TGFss inhibitor A-83-01;cc-656;SCHEMBL142081;CHEMBL1170377;CTK8E7450;KS-00001CSC;AOB1090;DTXSID60585065;EX-A482;SYN5149;BCP05991;BS0251;Transforming Growth Factor-beta Type I Receptor Kinase Inhibitor IV;ZINC13829336;3-(6-Methylpyridin-2-yl)-4-(4-quinolyl)-1-phenylthiocarbamoyl-1H-pyrazole;AKOS024457346;CS-1437;3-(6-methyl-2-pyridinyl)-n-phenyl-4-(4-quinolinyl)-1h-pyrazole-1-carbothioamide;NCGC00165721-01;NCGC00165721-02;NCGC00165721-16;4CA-0094;AS-16512;DA-35362;HY-10432;QC-11721;FT-0746646;Y1245;EC-000.2376;A12358;W-5384;Q26998219;3-(6-Methyl-2-pyridinyl)-N-phenyl-4 -(4-quinolinyl)-1H-pyrazole-1-carbothioamide;3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothio amide;3-(6-methylpyridin-2-yl)-N-phenyl-4-quinolin-4-yl-1H-pyrazole-1-carbothioamide","Inhibitor of ALK4, ALK5, ALK7 (activin receptor-like kinases)"
60961,https://pubchem.ncbi.nlm.nih.gov/compound/60961,Adenosine,,Osteogenic inducer
2051,https://pubchem.ncbi.nlm.nih.gov/compound/2051,AG-1478,,Inhibitor of the epidermal growth factor receptor
2126,https://pubchem.ncbi.nlm.nih.gov/compound/2126,AM580,"AM580;102121-60-8;Am 580;AM-580;Ro 40-6055;CD-336;CD 336;4-(5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalene-2-carboxamido)benzoic acid;UNII-VZ5S5G9ZFZ;4-{[(5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid;Ro-40-6055;VZ5S5G9ZFZ;BRN 3565084;CHEMBL69367;CHEBI:64210;NSC608001;Benzoic acid,4-[[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carbonyl]amino]-;4-((5,6,7,8-Tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carbonyl)aminobenzoic acid;4-[(5,6,7,8-Tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carboxamido]benzoic acid;Benzoic acid, 4-((5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carbonyl)amino-;SR-01000597463;SZWKGOZKRMMLAJ-UHFFFAOYSA-N;Ro406055;ACMC-20cewx;Tocris-0760;Spectrum5_001941;4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid;DSSTox_CID_20758;DSSTox_RID_79590;CBiol_001850;DSSTox_GSID_40758;BSPBio_001527;KBioGR_000247;KBioSS_000247;SCHEMBL726740;BML2-E09;GTPL2647;DTXSID5040758;CTK4A0696;KBio2_000247;KBio2_002815;KBio2_005383;KBio3_000493;KBio3_000494;AOB5264;EX-A843;BCPP000411;Bio1_000136;Bio1_000625;Bio1_001114;Bio2_000247;Bio2_000727;CD336;HMS1361M09;HMS1791M09;HMS1989M09;HMS3266B10;HMS3402M09;HMS3411H13;HMS3675H13;BCP03051;KS-00000PC3;ZINC3784077;Tox21_300780;3437AH;BDBM50052414;BN0066;MFCD00673916;s2933;AKOS024458635;API0008429;BCP9000281;CS-3251;NSC 608001;NSC-608001;4-[[(5,6,7,8-Tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carbonyl]amino]benzoic acid;IDI1_033997;NCGC00024774-01;NCGC00024774-02;NCGC00024774-03;NCGC00024774-04;NCGC00024774-05;NCGC00024774-06;NCGC00024774-07;NCGC00254684-01;4CA-0061;AK206372;AM580, >=98% (HPLC);AS-16835;DA-21728;HY-10475;LS-38310;NCI60_004717;BCP0726000221;CAS-102121-60-8;FT-0738259;C15619;J-000631;SR-01000597463-1;SR-01000597463-3;BRD-K06854232-001-02-5;Q27088586;4-[(1,1,4,4-tetramethyltetralin-6-carbonyl)amino]benzoic acid;4-(((5,5,8,8-Tetramethyl-5,6,7,8-tetrahydro-2-naphthalenyl)carbonyl)amino)benzoic acid;4-(1,1,4,4-tetramethyl-1,2,3,4-tetrahydronaphthalene-7-carboxamido)benzoic acid;4-(5,5,8,8-Tetramethyl-5,6,7,8-Tetrahydronaphthalene-2-Carbox Amido)Benzoic Acid;4-(5,6,7,8-tetrahydro-5,5,8,8-tetramethylnaphthalene-2-carboxamido)benzoic acid;4-[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydro-naphthalene-2-carbonyl)-amino]-benzoic acid;4-[(5,5,8,8-tetramethyl6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid;Benzoic acid,5',8',8'-tetramethyl-5',6',7',8'-tetrahydro-2'- naphthyl)amino)-:;Benzoic acid, 4((5',5',8',8'-tetramethyl-5',6',7', 8'-tetrahydro-2'- naphthyl)amino)-:;Benzoic acid, 4-[[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)carbonyl]amino]-;EQN",Agonist of the retinoic acid receptor
9810212,https://pubchem.ncbi.nlm.nih.gov/compound/9810212,AMI5,,Inhibitor of the TGFβ pathway
