,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
MMP3,-12.660764728112,0.0,0.0009082086422129665,0.09942594718714122,0.022420742522416024,1.4780531324322928e-13,1.4780531324322928e-13,1.4807456544020834e-13,0.00020495438090098198,15.372832610726302
KRTAP2-3,-11.7175978958794,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,12.999245915069668
KRTAP1-5,-11.404216368559599,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,12.678924139509354
KRT34,-11.1603299213027,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,12.42963650443856
TERT,-10.0202054205411,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,11.26426243926245
AC004231.7,-9.603765033711289,,,,,,,,,10.603765033711289
PSG4,-9.268585979787801,2.503754379692349e-06,0.0015647787064116613,0.6000000000000001,0.022638108843149866,1.7852437226396104e-26,1.7852437226396095e-26,1.4921571050563358e-24,0.0005775341130604288,16.837727541662787
LCE2A,-9.25720125236014,0.0004321480059348994,0.0017802733638649759,0.10154784240150094,0.02263364671435999,1.3014859586926525e-12,1.3014859586926523e-12,1.3026934545951036e-12,0.00024422134172780375,11.582931397665423
SERPINB7,-9.14435898897635,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,10.369019230524474
RP11-54D18.4,-8.985786557937079,,,,,,,,,9.985786557937079
PSG5,-8.78612871059571,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,10.002855469017073
RP11-73B8.2,-8.52273541374383,,,,,,,,,9.52273541374383
OTX2,-8.51028417693517,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,9.72090199346782
HOXA13,-8.281279150929361,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,19.006513026889458
SLC7A3,-8.09339572685369,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,9.294780997495987
NPTX1,-8.04221317562328,0.0,0.0006465301292702321,0.43478260869565216,0.022198666770089054,2.737042541796906e-25,2.737042541796905e-25,1.7840527065584928e-23,0.00028233100602982657,13.273927670428748
ZIC2,-7.877860263514889,0.0,0.0009191275921251508,0.6666666666666666,0.02218747552692363,2.7460325595995024e-33,2.746032559599501e-33,7.60189693325328e-31,0.0005,15.146200156167854
CYP26A1,-7.851569508146019,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,9.047599217459448
