,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
AADAC,10.000070000360301,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,11.245003894212712
KRTAP1-5,9.68290686248428,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,10.920778619246303
MMP3,9.30412461604223,0.0011287342036049727,0.0015210478955893663,0.14966555183946487,0.02325760467050433,0.0007383550590713435,0.0007383550590713435,0.0007383553677060997,0.0008468495138795926,12.191211658285802
IL6,9.01178518685756,1.3718675926764106e-05,0.0010579969908508507,0.15715539947322213,0.02279020668135679,0.004363799278676808,0.004363799278676808,0.004363801474543924,0.0005489468895876607,12.024484307765892
HINT3,8.93883932453395,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,10.160143244968259
ANPEP,8.914605397787101,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,10.13536971165152
CARD16,8.58132274204482,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,9.794665992350394
PSG5,8.49006110123232,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,9.701372267283626
CXCL8,8.45818986051728,3.3049557811939e-05,0.0014195312466120833,0.375,0.022780802035731258,7.467602524547252e-59,7.467602524547252e-59,4.66545352726205e-56,0.0006724957232465151,13.32955548710954
MMP1,8.3886738492936,0.0,0.0004144576289802263,0.13011873031257573,0.022336592827672384,0.00012940010236953516,0.00012940010236953516,0.00012940016052162347,0.00021535421984266015,10.858361346486095
LRRC15,8.33927187807455,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,9.547225484439616
DPT,8.22938919798321,0.0,0.00016116901257118293,,0.022101844780754283,0.0,0.0,0.0,0.0,9.43489609330909
SERPINB2,8.15410011938168,0.0,0.0006429577598538621,0.3225806451612903,0.022331841075399393,4.3459458205079454e-70,4.345945820507947e-70,9.785945663009087e-67,0.0002026712222394774,12.387876345456805
PSG4,8.030612846845031,2.503754379692349e-06,0.0014011563469138455,0.6000000000000001,0.022780825267810514,1.0753970578298407e-61,1.0753970578298407e-61,9.535752189365835e-59,0.0005746217998448401,14.80738755520679
