,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
MMP3,0.0,0.0009082086422129665,0.09942594718714122,0.022420742522416024,1.4780531324322928e-13,1.4780531324322928e-13,1.4807456544020837e-13
KRTAP2-3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KRTAP1-5,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KRT34,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
TERT,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PSG4,2.503754379692349e-06,0.0015647787064116613,0.6000000000000001,0.022638108843149866,1.7852437226396107e-26,1.7852437226396107e-26,1.4921571050563362e-24
LCE2A,0.0004321480059348994,0.0017802733638649759,0.10154784240150094,0.02263364671435999,1.3014859586926527e-12,1.3014859586926527e-12,1.3026934545951038e-12
SERPINB7,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PSG5,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
OTX2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXA13,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
SLC7A3,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
NPTX1,0.0,0.000646530129270232,0.43478260869565216,0.022198666770089054,2.7370425417969046e-25,2.7370425417969055e-25,1.7840527065584916e-23
ZIC2,0.0,0.0009191275921251508,0.6666666666666666,0.02218747552692363,2.7460325595995017e-33,2.7460325595995017e-33,7.601896933253286e-31
CYP26A1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
GREM1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXC8,0.0,0.0011675627262990238,0.14559515803631473,0.023931648896681167,4.171421964923518e-06,4.1714219649235175e-06,4.1719262301834575e-06
FAM166A,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LCE1F,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
C6ORF15,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CER1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXC11,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
DKK1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
EN1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CEMIP,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
HOXC9,0.0013637950106184225,0.0010741966019861395,0.20252572497661367,0.02369990773636387,0.0001294814622413956,0.0001294814622413956,0.00012948339232985318
