,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
MYH7,0.00031847755709686675,0.0021216952660460526,0.16627996906419182,0.02340525910343108,1.383969582088189e-06,1.3839695820881888e-06,1.4065928966705147e-06
MYL2,0.0,0.0010153651532294097,0.14285714285714288,0.022700497556784504,1.91840848426117e-07,1.9184084842611698e-07,1.9682990683687535e-07
MYH6,0.0,0.00125341609825143,0.16589506172839505,0.022953541923683925,1.3420006127942977e-06,1.3420006127942977e-06,1.363082324237242e-06
MB,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYBPC3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
NRAP,0.001448202624902083,0.001978564907511725,0.18391787852865696,0.02320082736324464,1.1352064508116207e-06,1.1352064508116207e-06,1.1688163377220096e-06
C14ORF180,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCNL1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
IGLC1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
NPPA,3.0045052556308184e-06,0.001623475445662412,0.625,0.02269323822981485,1.0704269257041678e-26,1.0704269257041673e-26,2.03118480519476e-25
CSRP3,0.0003194790588487437,0.0018833930696369797,0.15613652868554828,0.022920798747461384,1.4302109966634503e-07,1.43021099666345e-07,1.4947703731169143e-07
HHATL,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
C1QB,5.007508759384698e-07,0.0020663373839671212,1.0,0.02268649720119367,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
MYL3,0.00010716068745083253,0.0015610681203158574,0.14295212765957446,0.02292293760594463,1.9442846829800726e-07,1.9442846829800724e-07,1.9955802747615214e-07
C1QC,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
ITLN1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
VSIG4,0.0,0.000800818838965294,0.375,0.022473139696283086,1.5251072232506784e-21,1.5251072232506788e-21,1.571219286740898e-20
C1QA,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
CCL14,2.503754379692349e-07,0.0014158289678566091,0.75,0.0226910363162794,5.811971103625308e-26,5.811971103625309e-26,9.975358476763675e-25
LMOD2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PPP1R3A,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
BMP10,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
COX6A2,3.338339172923132e-07,0.001589205108649627,0.7000000000000001,0.02340517754155915,8.610348832966027e-11,8.610348832966022e-11,2.585373106067801e-10
TCAP,0.0,0.0006271928095167464,0.1575091575091575,0.022482858932611455,1.602914538485779e-07,1.602914538485779e-07,1.7038589288346945e-07
CASQ2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
S100A8,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
GIMAP7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PLN,0.0,0.0007489409374815591,0.10760760760760761,0.022464150069773686,3.4615169902811175e-10,3.4615169902811186e-10,5.214271724053811e-10
DHRS7C,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
S100A9,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
XIRP2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CALML3,0.0,0.0005771982538682173,0.1413543721236029,0.02247818086091314,5.1635515349691856e-08,5.163551534969185e-08,5.956585384415917e-08
FCGR2A,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
CLIC5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
NKX2-5,0.0,0.0007554359494358045,0.10233222275107091,0.02246644139733691,3.3466876289904602e-12,3.3466876289904622e-12,6.729650699270899e-12
SMPX,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GIMAP4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GPIHBP1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYL7,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CKM,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TNNI3,4.464313285390489e-05,0.0015227516824703506,0.16589506172839505,0.023201693682642237,2.1801058500684496e-07,2.1801058500684494e-07,2.6505176346305417e-07
TYROBP,1.5022526278154092e-06,0.002716845800077633,1.0,0.02291120541927861,1.843099215255596e-28,1.8430992152555955e-28,4.2178634528879165e-27
GIMAP6,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ASB10,0.0,0.0005758984166620399,0.1365079365079365,0.02248285195449315,5.5915584179888026e-05,5.591558417988802e-05,5.5916171860763953e-05
SPARCL1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RD3L,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PLA2G2A,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PGAM2,0.0,0.0007277850800132851,0.2727272727272727,0.022468667825473698,1.5695534701679562e-19,1.569553470167956e-19,1.226237472002495e-18
PLVAP,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CKMT2,0.0,0.0007277850800132851,0.2727272727272727,0.022468667825473698,1.5695534701679562e-19,1.569553470167956e-19,1.226237472002495e-18
LCN6,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ADGRF5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FCGR3A,0.00010716068745083253,0.0013820979372003723,0.12706855791962174,0.02269564705454281,5.836408642634797e-10,5.836408642634796e-10,9.738911968846596e-10
C19ORF48,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYOM2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TTN,0.0017976393402995639,0.004880217308902719,0.18679409209383144,0.024564334313049538,1.3056050246026117e-06,1.3056050246026115e-06,1.3618318437394376e-06
C6,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GIMAP1-GIMAP5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TRIM63,0.0,0.0009639289022000339,0.17310789049919484,0.02274703697261336,2.711074560414688e-07,2.7110745604146875e-07,3.046981144196864e-07
MYO18B,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GIMAP8,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FOLR2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYBPC1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SLC5A1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYOM1,0.0,0.0006271928095167464,0.1575091575091575,0.022482858932611455,1.602914538485779e-07,1.602914538485779e-07,1.7038589288346945e-07
C10ORF71,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TNNC1,4.656161401200586e-05,0.001878654553554732,0.16153268219383923,0.023410765338094146,3.257024485486035e-07,3.257024485486035e-07,3.66119357877349e-07
SLN,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HBB,0.00011221101933124587,0.0017986369489034915,0.1396103896103896,0.023425866229018107,7.307486312231696e-05,7.307486312231693e-05,7.307655101424364e-05
HMGCS2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ACTN2,0.004114599809113739,0.00421094100895189,0.17901748542880933,0.02455335077293906,8.183576221713195e-06,8.183576221713193e-06,8.227284331848003e-06
GIMAP5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYOZ2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
XIRP1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCL21,1.5022526278154092e-06,0.0015050181849503481,0.6666666666666666,0.022691036774868154,2.4467937728280743e-24,2.446793772828073e-24,3.4259581549625177e-23
LMAN1L,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TNNI3K,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
POPDC2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
C11ORF21,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCL19,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
UGT2B4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TNNT2,6.749009027926254e-06,0.0011777539259471244,0.1582045621780721,0.022940080415019704,2.539422660539519e-07,2.539422660539519e-07,2.788095304637369e-07
MNDA,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCL18,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SLC26A9,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYZAP,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
S100A12,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
DES,5.007508759384698e-07,0.0020663373839671212,1.0,0.02268649720119367,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
RNASE2,0.0,0.0008705338301977702,0.5,0.0224708456328392,1.2013707835322958e-23,1.2013707835322958e-23,1.57520414648826e-22
PEBP4,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
HPR,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
C10ORF128,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
