,DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",smiles of chemicals,name of chemicals in L1000FWD,cid of chemicals in L1000FWD
0,10.1371/journal.pone.0089678,Mus musculus,Fibroblasts,Induced Cardiomyocytes,14,"SB431542,4521392",ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO;ONC(=O)CCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,scriptaid;itdac-1;,5186;3785;
1,10.1007/s12015-013-9477-9,Sus scrofa,Fibroblasts,Induced Pancreatic Beta Cells,36,"5-Aza-2'-deoxycytidine,9444",not molecules,,
2,10.1038/ncomms3183,Homo sapiens,Fibroblasts,Induced Cholinergic Neurons,28,"Forskolin,47936;Dorsomorphin,11524144",CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5;C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,colforsin;forskolin;forskolin;forskolin;dorsomorphin;,5702265;47936;3413;6610344;11524144;
3,10.1016/j.biocel.2013.04.022,Homo sapiens,Mesenchymal Stem Cells (Bone marrow derived),Induced Neurons,28,"SB431542,4521392;Dorsomorphin,11524144",ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO;C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5;C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3;ONC(=O)CCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,scriptaid;dorsomorphin;itdac-1;,5186;11524144;3785;
4,10.1371/journal.pone.0003531,Mus musculus,Primordial Germ Cells,Induced Pluripotent Epiblast Cells ,10,"Trichostatin A,444732",not molecules,,
5,10.2217/rme.10.67,Homo sapiens,Mesenchymal Stem Cells (Bone marrow derived),Induced Neurons,28,"Trichostatin A,444732;5-Aza-2'-deoxycytidine,126357;RG108,123134263;Forskolin,47936;IBMX,3758",CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O,colforsin;forskolin;forskolin;forskolin;,5702265;47936;3413;6610344;
6,10.1002/hep.23506,Homo sapiens,Embryonic stem cells,Induced Hepatocytes,20,"Retinoic acid,444795",OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O;C1=CC=C2C(=C1)C(=O)N(C2=O)C(CC3=CNC4=CC=CC=C43)C(=O)O,RG-108;,702558;
7,10.1089/scd.2013.0438,Mus musculus,Primordial germ cells,Induced Embryonic Germ Cells,10,"SB431542,4521392;PD0325901,9826528;CHIR99021,9956119",Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO;ONC(=O)CCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,CHIR-99021;scriptaid;itdac-1;,9956119;5186;3785;
8,10.1089/scd.2013.0134,Homo sapiens,Fibroblasts,Induced Pancreatic Beta Cells,5,"Romidepsin,5352062;5-Aza-2'-deoxycytidine,9444",CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3;CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,rosiglitazone;,77999;
9,10.1089/cell.2011.0074,Sus scrofa,Fibroblasts,Induced Adipocytes,20,"SB431542,4521392;Thiazovivin,46209426",ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO;C[C@H](/C=C(C)/C=C/C(=O)NO)C(=O)c1ccc(cc1)N(C)C;CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C;CC(C=C(C)C=CC(=O)NO)C(=O)c1ccc(cc1)N(C)C;CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C;ONC(=O)CCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,scriptaid;trichostatin-a;trichostatin-a;itdac-1;,5186;444732;6376322;3785;
