DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1371/journal.pone.0089678,Mus musculus,Fibroblasts,Induced Cardiomyocytes,14,"SB431542,4521392",doxycycline (2 µg mL−1) and the PGK-H2B-m Cherry lentivirus,_,"MEFs, isolated at E14.5",Inhibitor of the Activin/BMP/TGF-β pathway,_,Inhibition of TGFβ signaling increases direct conversion of fibroblasts to induced cardiomyocytes,GSE54022,16.95,,2,_,John D. Gearhart; Jonathan A. Epstein; Russell C. Addis;Jamie L. Ifkovits,_
10.1007/s12015-013-9477-9,Sus scrofa,Fibroblasts,Induced Pancreatic Beta Cells,36,"5-Aza-2'-deoxycytidine,9444","N2B27 with 0.1 mM β- mercaptoetanol (Sigma), 2 mM glutamine (Sigma), 1 mM MEM Non-Essential Amino Acids (Gibco) and 0.5 % (w/v) bovine serum albumin (Sigma)",basic fibroblast growth factor 20 ng/ml,Primary porcine skin fibroblast cultures were established from fresh biopsies,Inhibitor of DNA methylation,_,Reprogramming of pig dermal fibroblast into insulin secreting cells by a brief exposure to 5-aza-cytidine,_,38.1,Counting insulin labeled cells with a flow cytometer,1,_,F.; Gandolfi; T. A. L.; Brevini; M. M.; Rahman; M.; Campagnol; S.; Maffei; G.;Pennarossa,_
10.1038/ncomms3183,Homo sapiens,Fibroblasts,Induced Cholinergic Neurons,28,"Forskolin,47936;Dorsomorphin,11524144",_,FGF2 (10 ng ml−1),Human fibroblasts were obtained from commercial sources and maintained in fibroblast medium (DMEM supplemented with 10 or 15%  fetal bovine serum and penicillin/streptomycin) according to the  vendor’s instructions for cell culture.,"CAMP agonist;Inhibitor of ALK2, ALK3, ALK6",NGN2,Small Molecules Enable Neurogenin 2 to Efficiently Convert Human Fibroblasts Into Cholinergic Neurons,GSE45954,57.2,,2,_,Oliver Brüstle; Philipp Koch; Franz-Josef Müller; Gesine Kögler; Peter Wernet; Stefan Herms; Finnja Glaue; Daniel Poppe; Jonas Doerr; Jaideep Kesavan; Jerome Mertens;Julia Ladewig,_
10.1016/j.biocel.2013.04.022,Homo sapiens,Mesenchymal Stem Cells (Bone marrow derived),Induced Neurons,28,"SB431542,4521392;Dorsomorphin,11524144","NeuroCult supplemented with 1% penicillin/streptomycin, 2 mM Glutamine, 1% N2, 20 ng/ml recombinant human EGF10 ng/ml recombinant human bFGF, 4 g/ml heparin, 10 ng/ml recombinant human LIF",10 ng/ml recombinant human bFGF,8-week fetal forebrain,"Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of ALK2, ALK3, ALK6",_,"Enhancing the efficiency of direct reprogramming of human mesenchymal stem cells into mature neuronal-like cells with the combination of small molecule modulators of chromatin modifying enzymes, SMAD signaling and cyclic adenosine monophosphate levels",_,1,"Sodium current, Electrophysiological recordings",1,_,Zhiying Zhang; Qing-song Liu;Alexanian Arshak R.,_
10.1371/journal.pone.0003531,Mus musculus,Primordial Germ Cells,Induced Pluripotent Epiblast Cells ,10,"Trichostatin A,444732","LIF (1200 IU/ml), FGF-2 (25 ng/ml) ",FGF-2 (25 ng/ml),"EG cell lines, 8.5 EGC-1 and 4-3 Rosa, were derived from E8.5 and −11.5 PGCs",Inhibitor of the histone deacetylases I and II,_,Reprogramming Primordial Germ Cells into Pluripotent Stem Cells,_,30,cells were stained for TNAP activity and the number of colonies was counted,2,_,M. Azim Surani; Reuben Tooze; Gina Doody; Fuchou Tang;Gabriela Durcova-Hills,_
10.2217/rme.10.67,Homo sapiens,Mesenchymal Stem Cells (Bone marrow derived),Induced Neurons,28,"Trichostatin A,444732;5-Aza-2'-deoxycytidine,126357;RG108,123134263;Forskolin,47936;IBMX,3758","epigenetic modifiers (e.g., inhibitors of DNA methylation and histone deacetylation) and to a neural environment (i.e., NSC condition medium and fixed NSCs), or neural induction factors, neurotrophins (NTs), mitogens, sonic hedgehog, Retinoic acid, 2-phospho-L-ascorbic acid and pharmacological agents that increase intracellular cAMP levels",NGF; NT-3; GDNF; BDNF,Human BM‑derived MSCs,Inhibitor of the histone deacetylases I and II;Inhibitor of DNA methylation;Inhibitor of the DNA methyltransferase;CAMP agonist;Inhibitor of the cyclic nucleotide phosphodiesterases,_,An efficient method for generation of neural-like cells from adult human bone marrow-derived mesenchymal stem cells,_,30,long axon- and dendrite-like extensions,1,TSA complimented by LIF and SCF,Alexanian A. R,_
10.1002/hep.23506,Homo sapiens,Embryonic stem cells,Induced Hepatocytes,20,"Retinoic acid,444795","CDM: 10 ng/mL activin, FGF2 12 ng/mL, CDM/PVA, 100 ng/mL activin, 20 ng/mL FGF2, 10 ng/mL BMP4, 10 μM, FGF10, 10−7 M Retinoic acid, 10 μM SB431542",FGF4; EGF;HGF;Activin;FGF2;BMP4,"hESCs (H9; WiCell, Madison, WI)",Agonist of a retinoic acid receptor,_,Generation of functional hepatocytes from human embryonic stem cells under chemically defined conditions that recapitulate liver development,_,60,"cuboidal shapes typical of hepatocytes. In addition, the cells generated expressed markers specific for mature liver cells, including α1‐antitrypsin (AAT), APOA‐II, tyrosine aminotransferase, tryptophan 2,3‐dioxygenase, factor IX, and the detoxifying enzymes Cyp3A7 and Cyp7A1",2,_,Ludovic Vallier; Anne Weber; James Di Santo; Roger Pedersen; Hélène Strick‐Marchand; Sylvie Mainot; Sophie Branchereau; ClémenceMartinet; Amélie Martinez; Sébastien Corbineau; Nicholas R. F. Hannan;Thomas Touboul,_
10.1089/scd.2013.0438,Mus musculus,Primordial germ cells,Induced Embryonic Germ Cells,10,"SB431542,4521392;PD0325901,9826528;CHIR99021,9956119","This medium contained knockout Dulbecco’s modified Eagle’s medium (KODMEM;Invitrogen), 2% fetal calf serum (FCS; HyClone)or knockout serum replacement (KSR; Gibco), 0.1% MEMnonessential amino acids (Invitrogen), 2mM L-glutamine(Invitrogen), 0.1mM b-mercaptoethanol (Sigma-Aldrich),100 U/mL penicillin and 100 mg/mL streptomycin (Invitrogen)supplemented with recombinant mouse LIF(1000 U/mL; ESGRO, Chemicon), homemade bFGF(25 ng/mL; Royan Institute), and SCF (100 ng/mL; R&D).The following day we replaced the medium with serumfreeN2B27-supplemented medium that consisted ofDMEM/F12 (Invitrogen) and neurobasal (Invitrogen) at a1:1 ratio, 1% N2 supplement (Invitrogen), 1% B27 supplement(Invitrogen), 2mM L-glutamine, 1% MEM nonessentialamino acids, 100 U/mL penicillin, 100 mg/mLstreptomycin, 0.1mM b-mercaptoethanol and 5 mg/mLBSA (Sigma-Aldrich), LIF (1000 U/mL)",LIF,"used outbred (NMRI) and inbred (DBA2; Pasteur Institute, Tehran, Iran) mice strains to derive EGCs.All  embryos were obtained by natural mating.",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of MEK/ERK pathway;Inhibitor of GSK3β,_,Efficient induction of pluripotency in primordial germ cells by dual inhibition of TGF-β and ERK signaling pathways,_,47,differentiation capacity,1,_,and Hossein Baharvand; Abdolhossein Shahverdi; Behrouz Asgari; Fereshteh Esfandiari; Seyedeh-Nafiseh Hassani; Hassan Ansari; Houri Sepehri;Farnoosh Attari,_
10.1089/scd.2013.0134,Homo sapiens,Fibroblasts,Induced Pancreatic Beta Cells,5,"Romidepsin,5352062;5-Aza-2'-deoxycytidine,9444","Islet cells were grown in Dulbeco modified Eagle medium (DMEM) supplemented with 2%fetal calf serum, 100U/mL of penicillin, 100 mg/mL of streptomycin, and 2mM glutamine",,Adult human primary dermal fibroblasts were obtained from ATCC. Human islets were obtained from cadaveric from ATCC. Human islets were obtained from cadaveric pancreases from the National Islet cell Resource Center Basic Science Islet Distribution Program,Inhibitor of the histone deacetylase;Inhibitor of DNA methylation,_,Reprogramming Adult Human Dermal Fibroblasts to Islet-Like Cells by Epigenetic Modification Coupled to Transcription Factor Modulation,_,84,"Over 80% of the cells stained positive for glucagon, while only around 2%–4% of the cells were positive for insulin",1,"TF Pdx1 can increase yield, but Romidepsin and 5-Azacytidine are able to induce islet-like cell from fibroblasts",Marvin C. Gershengorn; Elizabeth Geras-Raaka;Liora S. Katz,_
10.1089/cell.2011.0074,Sus scrofa,Fibroblasts,Induced Adipocytes,20,"SB431542,4521392;Thiazovivin,46209426","DMEM supplemented with 10% FBS, 0.1mM nonessential amino acids, 0.055mM 2-mercaptoethanol, and 2mM L-glutamine; chemical induction medium contained DMEM/F12, 15% Knockout Serum Replacement, 0.1mM nonessential amino acids, 0.055mM  2-mercaptoethanol, 2mM L-glutamine, 2 lM Thiazovivin, and 0.5 lM SB431542. The hormonal induction medium contained DMEM, 15% FBS, 0.1mM nonessential amino acids, 0.055mM 2-mercaptoethanol, 2mM L-glutamine, 5 lg/mL insulin, 1 lM dexamethasone, and 0.5mM isobutylmethylxanthine",,The PEFs were isolated from the 35-day-old fetuses of a 10-week-old Chinese miniature pig,Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of the RHO/ROCK pathway,_,Direct Conversion of Porcine Embryonic Fibroblasts into Adipocytes by Chemical Molecules,_,27,Lipid accumulation was assessed by the quantification of A510 in destained Oil Red O with isopropanol,1,_,Hongsheng Ouyang; Mingjun Zhang; Liangxue Lai; Fei Gao; Wanhua Xie; Yongye Huang; Xiaochun Tang; Yang Zhou; Daxin Pang;Jianguo Zhu,_
